ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_500_0.7_1_Run3,3167.12,6.33,15,48,52653.038392984025,22685.965929148224,5367,0,30454,9386,9854,0,0,500,48,3.623
Gen_Data_500_0.7_2_Run3,3076.44,6.15,15,53,57766.905516070605,24048.746042801788,4664,0,31059,10219,11028,0,0,500,53,5.706
Gen_Data_500_0.7_3_Run3,3031.35,6.06,26,42,46665.95260632789,23164.781185079326,5581,0,31150,9474,9731,0,0,500,42,2.868
Gen_Data_500_0.7_4_Run3,2875.94,5.75,15,48,52613.4393503186,23787.579157234566,4770,6,30955,9584,9867,0,0,500,48,1.99
Gen_Data_500_0.7_5_Run3,3944.7,7.89,21,32,36857.69506212142,23022.028138931244,5460,0,30939,9607,10242,0,0,500,32,3.92
Gen_Data_500_0.7_6_Run3,3535.28,7.07,15,50,54636.69341996206,23263.093445928953,5024,0,30658,9360,9655,0,0,500,50,3.124
Gen_Data_500_0.7_7_Run3,3364.59,6.73,23,48,52669.37808026577,23162.30253124841,5222,0,30769,9594,10033,0,0,500,48,2.695
Gen_Data_500_0.7_8_Run3,3021.19,6.04,22,61,65499.412405880255,23463.52293915788,4963,0,30752,9730,10089,0,0,500,61,1.874
Gen_Data_500_0.7_9_Run3,2743.1,5.49,10,70,74399.50765503,23084.981533743747,5181,0,30537,9293,9709,0,0,500,70,2.474
Gen_Data_500_0.7_10_Run3,3734.92,7.47,22,40,44753.37408628385,23345.542873188035,5256,0,31045,9696,10226,0,0,500,40,3.816
