BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_500_0.7_1,2831.9300000000003,5.66,23.0,52.0,56619.22523268617,23465.06031427093,4967.0,2.0,30809.0,9444.0,9797.0,0.0,0.0,500.0,52.0,2.978
Gen_Data_500_0.7_2,2785.8199999999997,5.573333333333333,11.0,65.0,69495.30169183097,23372.2473375328,5223.0,0.0,30887.0,9859.0,10306.0,0.0,0.0,500.0,65.0,3.301
Gen_Data_500_0.7_3,2599.0833333333335,5.196666666666667,16.333333333333332,48.666666666666664,53301.6040937697,23176.61914341185,5561.333333333333,0.0,31111.666666666668,9258.333333333334,9625.666666666666,0.0,0.0,500.0,48.666666666666664,2.411
Gen_Data_500_0.7_4,2518.5,5.04,10.666666666666666,47.333333333333336,51975.45169839259,23814.863381500138,4694.666666666667,0.0,30899.0,9585.666666666666,9940.0,0.0,0.0,500.0,47.333333333333336,2.3263333333333334
Gen_Data_500_0.7_5,3240.9966666666664,6.483333333333333,15.0,32.0,36803.05032837014,22875.321745035428,5292.0,3.0,30631.0,9574.0,9956.0,0.0,0.0,500.0,32.0,3.1300000000000003
Gen_Data_500_0.7_6,2902.3866666666668,5.806666666666666,18.0,51.0,55622.301378775584,23344.768890749863,4906.0,19.0,30612.0,9461.0,9826.0,0.0,0.0,500.0,51.0,2.43
Gen_Data_500_0.7_7,2834.4166666666665,5.666666666666667,13.666666666666666,47.0,51615.698342527474,23320.06544985912,5144.0,0.0,30865.0,9634.666666666666,9942.333333333334,0.0,0.0,500.0,47.0,1.9173333333333333
Gen_Data_500_0.7_8,2590.98,5.183333333333334,20.0,56.666666666666664,61201.491910159595,23404.722612966758,4878.666666666667,0.0,30634.666666666668,9826.333333333334,10160.333333333334,0.0,0.0,500.0,56.666666666666664,1.9986666666666668
Gen_Data_500_0.7_9,2474.7766666666666,4.953333333333333,11.0,68.0,72428.0152059771,23122.615697807505,5301.0,0.0,30702.0,9322.0,9730.0,0.0,0.0,500.0,68.0,2.583
Gen_Data_500_0.7_10,3354.06,6.71,18.0,41.0,45757.10447677542,23207.89524968163,5369.0,0.0,31011.0,9806.0,10393.0,0.0,0.0,500.0,41.0,3.661
