ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_100_0.7_1_Run3,178.61,0.0,0,16,16955.538453387217,4548.55918809266,276,4,5250,2257,2306,0,16,100,0,13.684
Gen_Data_100_0.7_2_Run3,258.07,0.0,0,9,10026.794754821269,4769.261021753595,378,38,5605,2276,2480,0,9,100,0,12.246
Gen_Data_100_0.7_3_Run3,96.84,0.0,0,11,12051.194837048766,4966.750476500242,195,1,5615,2158,2467,0,11,100,0,14.392
Gen_Data_100_0.7_4_Run3,184.27,0.0,0,11,12078.871370041474,4794.59689353609,500,79,5752,2374,2766,0,11,100,0,16.222
Gen_Data_100_0.7_5_Run3,109.44,0.0,0,7,7989.141286073449,4598.659988175908,357,28,5436,1977,2091,0,7,100,0,10.576
Gen_Data_100_0.7_6_Run3,164.29,0.0,0,9,10077.313837458823,4845.765441967567,342,65,5649,2275,2744,0,9,100,0,15.257
Gen_Data_100_0.7_7_Run3,273.5,0.0,0,6,7110.584445841684,5074.614088726043,328,32,5881,1925,2365,0,6,100,0,10.877
Gen_Data_100_0.7_8_Run3,105.76,0.0,0,8,8963.240891376634,5099.09237780395,309,5,5879,2140,2146,0,8,100,0,7.769
Gen_Data_100_0.7_9_Run3,156.73,0.0,0,10,10975.33778455566,4829.773361947093,377,3,5666,2169,2169,0,10,100,0,7.256
Gen_Data_100_0.7_10_Run3,100.73,0.0,0,12,13007.84175703411,5105.637686675858,315,54,5866,1940,2241,0,12,100,0,11.421
