BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_20_0.7_1,5.406666666666666,0.2733333333333334,0.0,13.0,13070.0,1008.2140992510821,478.0,0.0,1529.0,126.0,126.0,0.0,0.0,20.0,13.0,0.0
Gen_Data_20_0.7_2,5.036666666666666,0.25,0.0,13.0,13070.0,1018.5712794747177,494.0,0.0,1558.0,113.0,113.0,0.0,0.0,20.0,13.0,0.0
Gen_Data_20_0.7_3,6.34,0.32,0.0,11.0,11090.0,1020.6901815026152,485.0,0.0,1561.0,183.0,183.0,0.0,0.0,20.0,11.0,0.0
Gen_Data_20_0.7_4,5.783333333333334,0.29000000000000004,0.0,12.0,12080.0,963.9463785705938,652.0,0.0,1667.0,90.0,90.0,0.0,0.0,20.0,12.0,0.0
Gen_Data_20_0.7_5,5.503333333333333,0.27666666666666667,0.0,14.0,14060.0,995.6096617508628,553.0,0.0,1591.0,175.0,175.0,0.0,0.0,20.0,14.0,0.0
Gen_Data_20_0.7_6,5.086666666666666,0.25333333333333335,0.0,11.0,11090.0,1050.2744847477109,504.0,0.0,1606.0,228.0,228.0,0.0,0.0,20.0,11.0,0.0
Gen_Data_20_0.7_7,4.8999999999999995,0.24666666666666667,0.0,13.0,13070.0,915.8636926092103,430.0,0.0,1391.0,68.0,68.0,0.0,0.0,20.0,13.0,0.0
Gen_Data_20_0.7_8,6.863333333333333,0.3433333333333333,0.0,11.0,11090.0,1027.4154786878219,453.0,0.0,1535.0,166.0,166.0,0.0,0.0,20.0,11.0,0.0
Gen_Data_20_0.7_9,5.043333333333333,0.25333333333333335,0.0,10.0,10100.0,1080.6354703345232,581.0,0.0,1721.0,147.0,147.0,0.0,0.0,20.0,10.0,0.0
Gen_Data_20_0.7_10,6.413333333333334,0.32,0.0,13.0,13070.0,948.1526529167031,375.0,0.0,1368.0,157.0,157.0,0.0,0.0,20.0,13.0,0.0
