ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_0.7_1_Run3,1024.84,3.42,22,40,42753.381272340805,14714.105447218146,2893,0,19001,5633,6146,0,0,300,40,4.564
Gen_Data_300_0.7_2_Run3,976.46,3.25,13,54,56620.60719722911,14269.82894704115,3404,0,18978,5260,5720,0,0,300,54,4.76
Gen_Data_300_0.7_3_Run3,920.41,3.07,7,39,41686.343549514866,14411.422029583366,3430,0,19231,5794,6034,0,0,300,39,3.006
Gen_Data_300_0.7_4_Run3,951.51,3.17,7,42,44751.00347214974,14481.694708796555,3246,0,19119,5473,5841,0,0,300,42,4.327
Gen_Data_300_0.7_5_Run3,1111.73,3.71,8,51,53615.80053932456,13981.875270461944,3766,0,19076,5364,5761,0,0,300,51,4.637
Gen_Data_300_0.7_6_Run3,955.63,3.19,7,48,50602.14178255478,14386.970185594357,3339,0,19071,5730,5973,0,0,300,48,3.308
Gen_Data_300_0.7_7_Run3,938.72,3.13,9,51,53568.4701424081,14476.682139385603,3128,0,18950,5454,5651,0,0,300,51,2.349
Gen_Data_300_0.7_8_Run3,994.55,3.32,9,49,51687.49649849404,14391.036269385686,2960,8,18706,5719,6332,0,0,300,49,6.448
Gen_Data_300_0.7_9_Run3,945.1,3.15,8,38,40721.80600053571,13499.976020390122,4311,4,19214,5071,5389,0,0,300,38,4.585
Gen_Data_300_0.7_10_Run3,980.36,3.27,7,45,47630.358252984835,14109.010953168807,3861,0,19344,5765,6010,0,0,300,45,3.654
