ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_500_0.7_1_Run2,3395.15,6.79,17,56,60550.72767823962,23632.080737069366,4496,0,30453,9388,9841,0,0,500,56,3.636
Gen_Data_500_0.7_2_Run2,3555.1,7.11,18,67,71676.0864353824,24486.05048333307,4158,3,30886,9816,10999,0,0,500,67,7.322
Gen_Data_500_0.7_3_Run2,3461.15,6.92,21,47,51699.71084534439,23484.041881228593,5426,1,31265,9471,10054,0,0,500,47,4.302
Gen_Data_500_0.7_4_Run2,3087.92,6.18,11,49,53569.565974146506,23493.505217819475,5081,0,30923,9363,9577,0,0,500,49,1.942
Gen_Data_500_0.7_5_Run2,4254.94,8.51,16,47,51726.68265633622,23072.394498527963,5201,0,30632,9251,9850,0,0,500,47,4.095
Gen_Data_500_0.7_6_Run2,4654.63,9.31,22,56,60641.47712557244,23105.88470395814,5158,0,30575,9291,9855,0,0,500,56,4.123
Gen_Data_500_0.7_7_Run2,3856.99,7.71,22,65,69472.36595871765,23354.082522917302,5287,0,30913,9326,9759,0,0,500,65,2.91
Gen_Data_500_0.7_8_Run2,3255.89,6.51,20,60,64601.02219020986,23862.728194649208,4530,0,30678,9730,10362,0,0,500,60,4.234
Gen_Data_500_0.7_9_Run2,2982.31,5.96,24,68,72438.12328720439,23389.493906159125,5197,0,30841,9132,9557,0,0,500,68,3.418
Gen_Data_500_0.7_10_Run2,4714.17,9.43,28,53,57659.10777245097,23237.709650771212,5378,0,30949,9671,10301,0,0,500,53,5.094
