ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_500_0.7_1_Run3,3308.74,6.62,26,68,72554.25926340431,24425.315315196243,3773,4,30496,8884,9470,0,0,500,68,4.005
Gen_Data_500_0.7_2_Run3,3618.14,7.24,22,93,97300.75862106035,25441.37254860059,3342,0,30953,9139,9908,0,0,500,93,5.248
Gen_Data_500_0.7_3_Run3,3289.16,6.58,23,69,73480.36499429466,24771.69583332986,3887,0,30960,8803,9322,0,0,500,69,4.105
Gen_Data_500_0.7_4_Run3,3172.68,6.35,25,70,74452.77932998216,25317.211980969332,3352,13,30962,8961,9484,0,0,500,70,4.265
Gen_Data_500_0.7_5_Run3,4697.85,9.4,23,71,75554.73499039054,24638.858548765376,4447,0,31389,8826,9640,0,0,500,71,5.757
Gen_Data_500_0.7_6_Run3,4992.94,9.99,35,53,57638.4222224885,24608.29568870916,3756,3,30747,9481,10076,0,0,500,53,4.316
Gen_Data_500_0.7_7_Run3,4098.19,8.2,30,75,79514.9281617209,25217.51548867434,3512,0,30998,8823,9576,0,0,500,75,5.448
Gen_Data_500_0.7_8_Run3,3550.68,7.1,26,79,83345.36357744063,25555.185417250505,3113,5,30903,9181,9623,0,0,500,79,3.291
Gen_Data_500_0.7_9_Run3,3442.28,6.88,17,84,88329.39301801632,24632.16322870458,4106,0,30960,8628,9218,0,0,500,84,3.803
Gen_Data_500_0.7_10_Run3,4892.66,9.79,29,66,70633.05758732237,25730.806827200035,3210,2,31270,9541,10447,0,0,500,66,6.384
