BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_500_0.7_1,3359.013333333334,6.72,18.666666666666668,55.0,59578.9632386955,23576.753925966463,4553.666666666667,0.0,30461.333333333332,9414.333333333334,9896.333333333334,0.0,0.0,500.0,55.0,3.875
Gen_Data_500_0.7_2,3453.2100000000005,6.906666666666666,18.0,67.0,71676.0864353824,24486.050483333074,4158.0,3.0,30886.0,9816.0,10999.0,0.0,0.0,500.0,67.0,7.322
Gen_Data_500_0.7_3,3384.72,6.7700000000000005,21.0,47.0,51699.71084534439,23484.041881228593,5426.0,1.0,31265.0,9471.0,10054.0,0.0,0.0,500.0,47.0,4.302
Gen_Data_500_0.7_4,2976.9533333333334,5.953333333333333,11.0,49.0,53569.565974146506,23493.505217819475,5081.0,0.0,30923.0,9363.0,9577.0,0.0,0.0,500.0,49.0,1.942
Gen_Data_500_0.7_5,4158.473333333332,8.316666666666666,16.0,47.0,51726.68265633622,23072.394498527963,5201.0,0.0,30632.0,9251.0,9850.0,0.0,0.0,500.0,47.0,4.095
Gen_Data_500_0.7_6,4498.013333333333,8.996666666666666,17.333333333333332,54.333333333333336,58966.07650454595,22812.2688138727,5398.333333333333,3.0,30530.0,9289.0,9772.0,0.0,0.0,500.0,54.333333333333336,3.7673333333333336
Gen_Data_500_0.7_7,3774.2333333333336,7.546666666666667,22.0,65.0,69472.36595871765,23354.082522917302,5287.0,0.0,30913.0,9326.0,9759.0,0.0,0.0,500.0,65.0,2.91
Gen_Data_500_0.7_8,3228.4666666666667,6.456666666666666,20.0,60.0,64601.02219020986,23862.728194649204,4530.0,0.0,30678.0,9730.0,10362.0,0.0,0.0,500.0,60.0,4.234
Gen_Data_500_0.7_9,2990.683333333333,5.9799999999999995,24.0,68.0,72438.12328720439,23389.493906159125,5197.0,0.0,30841.0,9132.0,9557.0,0.0,0.0,500.0,68.0,3.4180000000000006
Gen_Data_500_0.7_10,4514.53,9.030000000000001,29.333333333333332,53.333333333333336,57997.67872328393,23379.453986596334,5232.666666666667,0.0,30949.0,9672.0,10351.333333333334,0.0,0.0,500.0,53.333333333333336,5.027333333333334
