BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_500_0.7_1,3618.8000000000006,7.236666666666667,19.0,53.333333333333336,57912.25765030094,23061.557928163897,5228.333333333333,0.0,30652.666666666668,9322.0,9710.0,0.0,0.0,500.0,53.333333333333336,3.0016666666666665
Gen_Data_500_0.7_2,3510.9166666666665,7.0200000000000005,14.666666666666666,54.333333333333336,59040.58459766616,23961.684659042,4744.333333333333,0.3333333333333333,31052.333333333332,10160.666666666666,10870.0,0.0,0.0,500.0,54.333333333333336,5.056333333333334
Gen_Data_500_0.7_3,3342.6533333333336,6.6866666666666665,26.0,42.0,46665.95260632789,23164.781185079326,5581.0,0.0,31150.0,9474.0,9731.0,0.0,0.0,500.0,42.0,2.868
Gen_Data_500_0.7_4,3167.6233333333334,6.336666666666666,14.0,49.666666666666664,54249.19472225417,23691.554247750264,4847.666666666667,4.0,30926.0,9534.333333333334,9766.333333333334,0.0,0.0,500.0,49.666666666666664,1.8406666666666667
Gen_Data_500_0.7_5,4060.0800000000004,8.12,21.333333333333332,32.0,36851.457248298546,23121.36437749777,5154.333333333333,0.0,30737.333333333332,9634.666666666666,10195.666666666666,0.0,0.0,500.0,32.0,3.3249999999999997
Gen_Data_500_0.7_6,3995.833333333334,7.993333333333333,17.333333333333332,53.0,57609.06355467605,23255.422183102073,5067.0,0.0,30677.666666666668,9340.666666666666,9729.666666666666,0.0,0.0,500.0,53.0,3.587
Gen_Data_500_0.7_7,3699.6066666666666,7.3999999999999995,23.666666666666668,43.666666666666664,48386.0882852767,23244.549543538276,5179.333333333333,1.3333333333333333,30830.666666666668,9709.666666666666,10166.333333333334,0.0,0.0,500.0,43.666666666666664,3.057
Gen_Data_500_0.7_8,3318.39,6.636666666666667,22.0,61.0,65499.412405880255,23463.52293915788,4963.0,0.0,30752.0,9730.0,10089.0,0.0,0.0,500.0,61.0,1.8739999999999999
Gen_Data_500_0.7_9,2975.9300000000003,5.953333333333333,10.0,70.0,74399.50765503,23084.981533743747,5181.0,0.0,30537.0,9293.0,9709.0,0.0,0.0,500.0,70.0,2.474
Gen_Data_500_0.7_10,4582.74,9.163333333333332,26.666666666666668,43.333333333333336,48101.869570880874,23435.845081971143,5081.333333333333,0.6666666666666666,30947.0,9763.666666666666,10362.333333333334,0.0,0.0,500.0,43.333333333333336,4.411333333333332
