BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_100_0.5_1,63.79333333333333,0.64,1.0,50.0,50574.90800422654,3604.768133234287,1153.0,0.0,5021.0,1174.0,1317.0,0.0,0.0,100.0,50.0,6.794
Gen_Data_100_0.5_2,64.22666666666667,0.64,2.0,44.0,44589.166666666664,3702.3011379538334,1049.0,0.0,5051.0,1091.0,1196.0,0.0,0.0,100.0,44.0,3.333
Gen_Data_100_0.5_3,62.43,0.6233333333333334,6.0,42.0,42589.458261863925,3899.7828036794817,933.0,0.0,5139.0,1244.0,1281.0,0.0,0.0,100.0,42.0,3.5559999999999996
Gen_Data_100_0.5_4,70.91333333333334,0.71,0.0,43.0,43626.29781181885,3726.5116159259383,1190.0,0.0,5221.0,1364.0,1590.0,0.0,0.0,100.0,43.0,12.889000000000001
Gen_Data_100_0.5_5,64.79333333333334,0.65,1.0,42.0,42606.23188405797,3655.0669260230793,1032.0,0.0,5000.0,1231.0,1297.0,0.0,0.0,100.0,42.0,3.397
Gen_Data_100_0.5_6,65.99000000000001,0.66,4.0,46.0,46575.01931033683,3823.524488321497,1061.0,0.0,5173.0,1258.0,1400.0,0.0,0.0,100.0,46.0,7.222
Gen_Data_100_0.5_7,64.03666666666668,0.6366666666666666,3.0,43.0,43602.39880952381,3887.398536623628,748.0,0.0,4948.0,1110.0,1189.0,0.0,0.0,100.0,43.0,4.19
Gen_Data_100_0.5_8,69.30666666666666,0.6933333333333334,0.0,40.0,40678.69683988328,3514.6611139592983,1331.0,0.0,5162.0,1087.0,1173.0,0.0,0.0,100.0,40.0,3.1519999999999997
Gen_Data_100_0.5_9,63.67000000000001,0.6366666666666667,3.0,41.0,41613.49025974026,4112.486798222012,799.0,0.0,5226.0,1242.0,1300.0,0.0,0.0,100.0,41.0,3.889
Gen_Data_100_0.5_10,66.08333333333333,0.6633333333333333,0.0,47.0,47551.102095383605,3647.0169740831084,1167.0,0.0,5101.0,1126.0,1196.0,0.0,0.0,100.0,47.0,4.333
