BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_20_0.5_1,10.180000000000001,0.0,0.0,5.0,5198.028554175297,920.6732394811048,177.0,17.0,1176.0,508.0,524.0,0.0,5.0,20.0,0.0,15.556
Gen_Data_20_0.5_2,10.783333333333333,0.0,0.0,6.0,6154.0,689.6632015926001,146.0,0.0,907.0,353.0,196.0,0.0,6.0,20.0,0.0,5.0
Gen_Data_20_0.5_3,9.72,0.0,0.0,4.0,4210.958735521239,1313.3944163553508,39.0,0.0,1435.0,372.0,482.0,0.0,4.0,20.0,0.0,9.714
Gen_Data_20_0.5_4,10.11,0.0,0.0,5.0,5150.0,803.8071016594537,196.0,0.0,1074.0,326.0,223.0,0.0,5.0,20.0,0.0,0.0
Gen_Data_20_0.5_5,10.85,0.0,0.0,5.0,5165.788923719958,1122.7342996826726,161.0,0.0,1363.0,469.0,410.0,0.0,5.0,20.0,0.0,4.0
Gen_Data_20_0.5_6,11.063333333333334,0.0,0.0,5.0,5149.999999999998,980.6199749676836,318.0,0.0,1376.0,479.0,292.0,0.0,5.0,20.0,0.0,0.0
Gen_Data_20_0.5_7,10.333333333333334,0.0,0.0,4.0,4160.0,777.8599530163607,78.0,0.0,938.0,271.0,156.0,0.0,4.0,20.0,0.0,0.0
Gen_Data_20_0.5_8,10.623333333333335,0.0,0.0,7.0,7140.144927536232,948.3896718079571,153.0,38.0,1169.0,513.0,389.0,0.0,7.0,20.0,0.0,5.0
Gen_Data_20_0.5_9,11.493333333333334,0.0,0.0,2.0,2202.8571428571486,1077.053747852751,266.0,0.0,1437.0,371.0,381.0,0.0,2.0,20.0,0.0,6.666999999999999
Gen_Data_20_0.5_10,10.479999999999999,0.0,0.0,5.0,5172.742690058492,916.6955747761936,14.0,0.0,1007.0,362.0,363.0,0.0,5.0,20.0,0.0,11.667
