BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_20_0.5_1,5.413333333333334,0.27,0.0,8.0,8120.0,784.6209659798845,562.0,0.0,1413.0,211.0,211.0,0.0,0.0,20.0,8.0,0.0
Gen_Data_20_0.5_2,5.116666666666666,0.25333333333333335,0.0,13.0,13070.0,503.48861488035703,877.0,0.0,1421.0,72.0,72.0,0.0,0.0,20.0,13.0,0.0
Gen_Data_20_0.5_3,5.226666666666667,0.26333333333333336,0.0,10.0,10100.0,852.2487114992664,793.0,0.0,1701.0,208.0,208.0,0.0,0.0,20.0,10.0,0.0
Gen_Data_20_0.5_4,5.383333333333333,0.27,0.0,8.0,8120.0,753.7561260300832,683.0,0.0,1501.0,123.0,123.0,0.0,0.0,20.0,8.0,0.0
Gen_Data_20_0.5_5,5.016666666666667,0.25333333333333335,0.0,10.0,10100.0,743.644569419694,871.0,0.0,1672.0,231.0,231.0,0.0,0.0,20.0,10.0,0.0
Gen_Data_20_0.5_6,5.803333333333334,0.29000000000000004,0.0,8.0,8120.0,1056.649976358407,551.0,0.0,1673.0,267.0,267.0,0.0,0.0,20.0,8.0,0.0
Gen_Data_20_0.5_7,4.6499999999999995,0.2333333333333333,0.0,10.0,10100.0,848.2760043050343,646.0,0.0,1552.0,98.0,98.0,0.0,0.0,20.0,10.0,0.0
Gen_Data_20_0.5_8,4.843333333333334,0.24333333333333332,0.0,9.0,9110.0,984.8293386236355,650.0,0.0,1695.0,288.0,288.0,0.0,0.0,20.0,9.0,0.0
Gen_Data_20_0.5_9,5.523333333333333,0.27666666666666667,0.0,7.0,7130.0,766.5076353825742,732.0,0.0,1571.0,169.0,169.0,0.0,0.0,20.0,7.0,0.0
Gen_Data_20_0.5_10,5.43,0.27,0.0,10.0,10105.111111111111,727.4732504235814,616.0,0.0,1398.0,217.0,240.0,0.0,0.0,20.0,10.0,5.0
