ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_0.5_1_Run1,675.32,2.25,18,111,113189.31729334484,11326.03190352023,1599,2,13949,3934,4809,0,0,300,111,11.809
Gen_Data_300_0.5_2_Run1,637.18,2.12,16,121,122946.1212876712,11374.961406197699,1532,0,13869,3744,4285,0,0,300,121,7.896
Gen_Data_300_0.5_3_Run1,597.04,1.99,12,102,104350.18329075912,11820.151477373041,1271,1,14131,4418,5508,0,0,300,102,15.178
Gen_Data_300_0.5_4_Run1,566.0,1.89,6,116,118002.25988735103,11607.362313922398,1399,0,14012,3945,4440,0,0,300,116,8.009
Gen_Data_300_0.5_5_Run1,654.61,2.18,14,124,125964.66977669368,11454.16680198003,1645,0,14044,3749,4249,0,0,300,124,7.328
Gen_Data_300_0.5_6_Run1,648.58,2.16,18,100,102376.59751686387,11469.121111085555,1348,1,13876,4340,5350,0,0,300,100,12.248
Gen_Data_300_0.5_7_Run1,611.16,2.04,14,106,108088.96187524013,11374.111692934825,1593,4,14003,4337,4858,0,0,300,106,7.145
Gen_Data_300_0.5_8_Run1,577.56,1.93,13,107,109147.69127057448,11196.168070070882,1511,0,13745,4128,4720,0,0,300,107,8.799
Gen_Data_300_0.5_9_Run1,596.92,1.99,13,111,113068.45689558209,11557.144651374778,1459,0,14037,3713,4268,0,0,300,111,8.857
Gen_Data_300_0.5_10_Run1,563.72,1.88,13,105,107133.78347962008,11587.760247816876,1348,0,13984,4237,4769,0,0,300,105,7.92
