ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_0.5_1_Run3,624.52,2.08,14,83,85437.40016420586,10734.342618886141,1939,0,13833,4591,5357,0,0,300,83,10.637
Gen_Data_300_0.5_2_Run3,620.75,2.07,18,91,93199.79137824607,10741.129874033119,1955,0,13802,4457,4853,0,0,300,91,6.199
Gen_Data_300_0.5_3_Run3,638.53,2.13,18,75,77472.21314330207,11081.683673607818,1877,1,14142,4943,5716,0,0,300,75,10.074
Gen_Data_300_0.5_4_Run3,639.2,2.13,15,87,89419.76648411922,10834.186029887793,2010,1,13987,4527,5469,0,0,300,87,12.201
Gen_Data_300_0.5_5_Run3,741.43,2.47,30,86,88431.93647554667,10762.234492332671,1939,4,13836,4700,5505,0,0,300,86,12.099
Gen_Data_300_0.5_6_Run3,595.44,1.98,13,84,86410.78360781362,10992.347505480466,1813,0,13942,4878,5649,0,0,300,84,9.008
Gen_Data_300_0.5_7_Run3,615.05,2.05,12,86,88381.9981866411,11016.287730611277,1713,0,13861,5025,5752,0,0,300,86,10.76
Gen_Data_300_0.5_8_Run3,609.98,2.03,16,89,91372.24638433866,10734.013923209703,1809,0,13671,4574,5326,0,0,300,89,9.632
Gen_Data_300_0.5_9_Run3,675.72,2.25,15,71,73473.66668883778,10739.066363044725,2112,0,14050,4475,5023,0,0,300,71,8.367
Gen_Data_300_0.5_10_Run3,630.55,2.1,12,81,83358.19960041075,10690.011517266052,2122,1,13968,4925,5486,0,0,300,81,9.528
