ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_500_0.5_1_Run3,2769.67,5.54,30,99,103478.5250285171,18291.91015713161,2453,0,22817,8228,9892,0,0,500,99,13.048
Gen_Data_500_0.5_2_Run3,2104.1,4.21,29,117,121315.66419927188,18518.455446335407,2181,0,22677,8601,10299,0,0,500,117,14.719
Gen_Data_500_0.5_3_Run3,2420.49,4.84,31,100,104412.5921166248,18433.622246338247,2343,0,22832,8522,9863,0,0,500,100,10.039
Gen_Data_500_0.5_4_Run3,2286.94,4.57,36,100,104299.62936458306,18375.63912476189,2233,0,22688,7989,8959,0,0,500,100,8.416
Gen_Data_500_0.5_5_Run3,4038.33,8.08,43,94,98434.71902287834,18430.986877111194,2449,5,22976,8234,9529,0,0,500,94,11.351
Gen_Data_500_0.5_6_Run3,3530.7,7.06,23,110,114147.06459765867,17664.966697769843,2905,8,22587,8096,9009,0,0,500,110,9.019
Gen_Data_500_0.5_7_Run3,2205.64,4.41,37,107,111415.70109252204,18276.435233457956,2332,0,22628,8164,9736,0,0,500,107,13.282
Gen_Data_500_0.5_8_Run3,3467.19,6.93,26,115,119315.06737389528,18240.255047391747,2491,0,22710,8432,9995,0,0,500,115,12.868
Gen_Data_500_0.5_9_Run3,1777.96,3.56,23,122,126071.06608204955,18051.369810621294,2900,0,22904,7863,8861,0,0,500,122,8.741
Gen_Data_500_0.5_10_Run3,2941.95,5.88,35,118,122231.74000005826,18243.0953981277,2560,0,22790,8136,9444,0,0,500,118,12.196
