BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_500_0.5_1,2629.306666666667,5.26,33.0,111.0,115356.91078458079,18851.832862000258,2010.0,4.0,22885.0,7977.0,9485.0,0.0,0.0,500.0,111.0,11.851
Gen_Data_500_0.5_2,2469.6366666666668,4.94,33.0,148.0,151805.3458178804,19285.747886592842,1671.0,0.0,22798.0,7975.0,9046.0,0.0,0.0,500.0,148.0,9.078
Gen_Data_500_0.5_3,2576.2333333333336,5.153333333333333,37.0,133.0,137163.70877739918,19026.71084376087,1935.0,7.0,22888.0,7964.0,9540.0,0.0,0.0,500.0,133.0,13.095
Gen_Data_500_0.5_4,2403.96,4.81,36.0,111.0,115416.17431396655,18844.075552020535,1826.0,0.0,22687.0,7957.0,9492.0,0.0,0.0,500.0,111.0,12.621
Gen_Data_500_0.5_5,3355.03,6.71,37.0,113.0,117194.51463517289,18964.933150944475,1866.0,3.0,22849.0,7778.0,8851.0,0.0,0.0,500.0,113.0,9.926
Gen_Data_500_0.5_6,3499.373333333333,6.996666666666667,38.0,123.33333333333333,127653.35656329338,18806.782181558712,1863.6666666666667,2.6666666666666665,22631.333333333332,7876.333333333333,9872.333333333334,0.0,0.0,500.0,123.33333333333333,13.67
Gen_Data_500_0.5_7,2534.8233333333333,5.07,41.333333333333336,134.33333333333334,138552.1064049429,19098.57256728166,1718.6666666666667,5.333333333333333,22742.0,7717.333333333333,9448.666666666666,0.0,0.0,500.0,134.33333333333334,13.846333333333334
Gen_Data_500_0.5_8,2965.8199999999997,5.93,33.0,126.0,130163.69919229666,18760.022869727578,1967.0,0.0,22681.0,8089.0,9515.0,0.0,0.0,500.0,126.0,12.580999999999998
Gen_Data_500_0.5_9,2456.2599999999998,4.913333333333333,25.666666666666668,138.0,141881.11167524275,18743.9187294817,2262.6666666666665,5.333333333333333,22899.333333333332,7430.666666666667,8179.333333333333,0.0,0.0,500.0,138.0,6.838666666666668
Gen_Data_500_0.5_10,3422.5033333333336,6.846666666666667,41.0,129.0,133153.15588450627,18860.725097967468,2025.6666666666667,10.333333333333334,22838.333333333332,8075.333333333333,9548.333333333334,0.0,0.0,500.0,129.0,10.785333333333332
