ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_100_0.7_1_Run2,1539.44,38.49,8,2,2980.9523809523807,5750.784496160643,622,0,6879,1579,1583,60,0,40,2,0.476
Gen_Data_100_0.7_2_Run2,1355.0,33.87,9,1,2021.8537553885162,5881.5254420893325,729,0,7127,2349,2521,60,0,40,1,4.875
Gen_Data_100_0.7_3_Run2,1444.32,36.11,10,2,2993.714285714286,5857.158154513364,826,0,7194,2156,2204,60,0,40,2,1.746
Gen_Data_100_0.7_4_Run2,1578.36,39.46,5,0,1017.5143745143746,5532.455155966705,793,0,6846,1885,1963,60,0,40,0,3.741
Gen_Data_100_0.7_5_Run2,1694.95,42.37,11,1,2016.7107287746448,5885.180407783139,688,44,7093,2333,2476,60,0,40,1,4.694
Gen_Data_100_0.7_6_Run2,1314.56,32.86,10,2,3011.1021872863976,5853.201505672235,575,0,6939,2214,2337,60,0,40,2,3.212
Gen_Data_100_0.7_7_Run2,1267.3,31.68,7,3,3993.0490319204605,5649.36586937583,911,0,7062,2002,2123,60,0,40,3,3.108
Gen_Data_100_0.7_8_Run2,1700.61,42.52,9,0,1091.0689170120186,5587.310250314902,926,16,7031,2344,2852,60,0,40,0,13.693
Gen_Data_100_0.7_9_Run2,1540.73,38.52,9,0,1035.4449191159717,5594.09113928179,903,9,7032,2192,2353,60,0,40,0,4.854
Gen_Data_100_0.7_10_Run2,1591.09,39.78,13,1,2069.2859951848245,5813.5873991089275,746,4,7080,2482,2805,60,0,40,1,9.231
