BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_100_0.7_1,199.18333333333337,0.0,0.0,0.0,1000.0000000000182,5408.357911448256,124.0,0.0,6037.0,1594.0,1594.0,60.0,0.0,40.0,0.0,0.0
Gen_Data_100_0.7_2,226.75333333333333,0.0,0.0,0.0,1013.8376961144187,5668.654677346415,94.66666666666667,0.0,6274.0,2364.0,2430.6666666666665,60.0,0.0,40.0,0.0,5.0473333333333334
Gen_Data_100_0.7_3,251.01,0.0,0.0,0.0,1005.5414726179939,5835.7987028805765,108.33333333333333,0.0,6452.333333333333,2218.0,2250.6666666666665,60.0,0.0,40.0,0.0,1.6969999999999998
Gen_Data_100_0.7_4,205.28,0.0,0.0,0.0,999.9999999999576,5159.1467299540245,99.0,0.0,5765.333333333333,1885.0,1885.0,60.0,0.0,40.0,0.0,0.0
Gen_Data_100_0.7_5,220.09666666666666,0.0,0.0,0.0,1012.5556668777778,5602.706070309883,44.0,0.3333333333333333,6155.0,2342.0,2408.0,60.0,0.0,40.0,0.0,2.8843333333333327
Gen_Data_100_0.7_6,246.01,0.0,0.0,0.0,1013.9141204168967,5730.100876317974,87.66666666666667,0.0,6327.333333333333,2243.0,2293.6666666666665,60.0,0.0,40.0,0.0,2.239333333333333
Gen_Data_100_0.7_7,156.46333333333334,0.0,0.0,0.0,1007.6804770872623,5314.549724925898,286.0,0.0,6109.666666666667,2122.0,2163.6666666666665,60.0,0.0,40.0,0.0,1.6929999999999998
Gen_Data_100_0.7_8,217.08,0.0,0.0,0.0,1023.3240270421193,5591.4366063688285,89.0,0.3333333333333333,6184.666666666667,2344.0,2460.0,60.0,0.0,40.0,0.0,4.665666666666667
Gen_Data_100_0.7_9,317.13,0.0,0.0,0.0,1000.34013605442,5753.487974469822,110.66666666666667,0.0,6383.333333333333,2192.0,2193.6666666666665,60.0,0.0,40.0,0.0,0.19833333333333333
Gen_Data_100_0.7_10,257.0366666666667,0.0,0.0,0.0,1016.6500504472123,5590.693816313488,140.33333333333334,0.0,6238.0,2506.0,2599.3333333333335,60.0,0.0,40.0,0.0,3.7566666666666664
