ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_20_0.7_1_Run1,7.35,0.92,1,5,5169.2005116725295,1053.0560171934185,276,0,1408,392,496,12,1,8,4,6.667
Gen_Data_20_0.7_2_Run1,5.83,0.73,0,3,3170.0,1066.770199929022,174,0,1330,251,251,12,1,8,2,0.0
Gen_Data_20_0.7_3_Run1,17.88,2.24,2,0,219.5121951219512,1180.0128639923503,228,0,1509,467,547,12,0,8,0,5.556
Gen_Data_20_0.7_4_Run1,6.34,0.79,1,2,2190.8695652173915,1562.1003364011904,143,0,1800,502,552,12,1,8,1,4.167
Gen_Data_20_0.7_5_Run1,11.49,1.44,2,2,2188.3050847457625,1403.4747413192472,75,0,1570,420,469,12,0,8,2,2.778
Gen_Data_20_0.7_6_Run1,7.78,0.97,1,3,3170.0,1153.3574778203752,223,0,1465,370,370,12,0,8,3,0.0
Gen_Data_20_0.7_7_Run1,9.37,1.17,1,0,212.46320346320346,1379.2317592966103,85,0,1571,502,553,12,0,8,0,5.556
Gen_Data_20_0.7_8_Run1,5.05,0.63,0,3,3175.7971014492755,1263.29970390532,519,0,1870,415,455,12,1,8,2,3.333
Gen_Data_20_0.7_9_Run1,12.98,1.62,0,5,5150.0,1292.7041570286249,224,0,1595,370,370,12,1,8,4,0.0
Gen_Data_20_0.7_10_Run1,10.7,1.34,2,2,2205.98814229249,1164.1541857142943,175,0,1433,391,536,12,0,8,2,6.667
