BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_0.7_1,7157.920000000001,59.65,21.333333333333332,0.3333333333333333,3376.6862188945056,15788.605224340397,2928.3333333333335,12.0,20234.666666666668,6473.666666666667,6710.0,180.0,0.0,120.0,0.3333333333333333,2.300666666666667
Gen_Data_300_0.7_2,7207.18,60.06,10.666666666666666,0.0,3011.743483340179,15873.541211374262,1212.6666666666667,0.6666666666666666,18613.666666666668,6370.0,6442.666666666667,180.0,0.0,120.0,0.0,1.2003333333333333
Gen_Data_300_0.7_3,7207.856666666667,60.06666666666666,15.333333333333334,0.0,3015.4898176925794,15820.640658022408,1147.3333333333333,1.0,18501.666666666668,6052.0,6130.333333333333,180.0,0.0,120.0,0.0,1.1636666666666666
Gen_Data_300_0.7_4,7114.153333333333,59.28666666666667,17.0,0.6666666666666666,3703.3575656829476,15342.723086966687,1909.0,13.0,18791.333333333332,6371.666666666667,6578.333333333333,180.0,0.0,120.0,0.6666666666666666,2.6923333333333335
Gen_Data_300_0.7_5,7151.103333333333,59.593333333333334,18.0,0.3333333333333333,3353.0840080605303,15987.163420147774,2360.6666666666665,0.0,19865.333333333332,6610.0,6742.333333333333,180.0,0.0,120.0,0.3333333333333333,1.8376666666666666
Gen_Data_300_0.7_6,7206.150000000001,60.050000000000004,10.0,0.0,3022.0843974137956,16062.01592275817,1443.6666666666667,0.0,19031.333333333332,6180.0,6245.0,180.0,0.0,120.0,0.0,1.0553333333333332
Gen_Data_300_0.7_7,7207.326666666667,60.06333333333333,13.0,1.0,4039.2459614773775,16457.62378734753,1313.6666666666667,9.666666666666666,19308.333333333332,6937.666666666667,7148.0,180.0,0.0,120.0,1.0,2.6510000000000002
Gen_Data_300_0.7_8,7168.260000000001,59.73666666666666,12.666666666666666,0.0,3023.1117278570296,15735.704925150101,1827.0,3.3333333333333335,19090.0,6141.0,6268.666666666667,180.0,0.0,120.0,0.0,1.562
Gen_Data_300_0.7_9,7187.290000000001,59.89333333333334,17.333333333333332,0.3333333333333333,3372.7231225512073,15563.999830802024,2171.0,5.666666666666667,19260.666666666668,6639.0,6874.0,180.0,0.0,120.0,0.3333333333333333,2.6399999999999997
Gen_Data_300_0.7_10,7207.170000000001,60.05666666666667,17.333333333333332,0.0,3038.200572773423,16150.444687430101,1229.3333333333333,4.0,18904.666666666668,6387.0,6576.0,180.0,0.0,120.0,0.0,2.3850000000000002
