BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_0.7_1,7144.183333333333,59.53333333333333,21.333333333333332,0.6666666666666666,3687.8925000215154,16924.811861328497,1979.6666666666667,2.0,20448.666666666668,6470.333333333333,6605.666666666667,180.0,0.0,120.0,0.6666666666666666,1.5826666666666667
Gen_Data_300_0.7_2,7206.786666666667,60.05666666666667,12.0,0.0,3017.0988955363223,16817.3215626807,1983.6666666666667,19.333333333333332,20353.0,6370.0,6472.666666666667,180.0,0.0,120.0,0.0,1.516
Gen_Data_300_0.7_3,7207.193333333334,60.06,14.0,0.0,3019.798109555953,16493.374950829104,2011.0,7.666666666666667,20062.333333333332,6052.0,6148.666666666667,180.0,0.0,120.0,0.0,1.438
Gen_Data_300_0.7_4,7103.7266666666665,59.196666666666665,17.666666666666668,0.3333333333333333,3378.7029267813364,16595.149425553118,2151.0,5.666666666666667,20315.333333333332,6405.0,6667.0,180.0,0.0,120.0,0.3333333333333333,2.717
Gen_Data_300_0.7_5,7141.783333333334,59.51666666666667,17.666666666666668,0.3333333333333333,3351.394367491311,16828.802230269677,2032.3333333333333,2.0,20403.333333333332,6612.0,6721.333333333333,180.0,0.0,120.0,0.3333333333333333,1.7763333333333335
Gen_Data_300_0.7_6,7197.383333333332,59.98,13.333333333333334,0.0,3009.906490262103,16514.543184387836,1948.6666666666667,1.0,20018.333333333332,6180.0,6223.666666666667,180.0,0.0,120.0,0.0,0.9216666666666665
Gen_Data_300_0.7_7,7203.636666666666,60.03,14.0,0.0,3041.706145725007,16923.67124708957,1883.3333333333333,8.666666666666666,20373.0,6958.0,7144.666666666667,180.0,0.0,120.0,0.0,3.2266666666666666
Gen_Data_300_0.7_8,7140.849999999999,59.50666666666666,15.333333333333334,0.0,3021.007409326859,16727.269975825053,1944.6666666666667,11.0,20228.333333333332,6141.0,6256.333333333333,180.0,0.0,120.0,0.0,1.391
Gen_Data_300_0.7_9,7139.7699999999995,59.49666666666667,19.666666666666668,0.0,3077.563120641622,16579.583868429745,2105.6666666666665,5.0,20235.333333333332,6640.0,7039.0,180.0,0.0,120.0,0.0,4.318666666666666
Gen_Data_300_0.7_10,7204.66,60.03666666666667,12.333333333333334,0.0,3031.5291158745786,16455.265458581107,2083.6666666666665,6.333333333333333,20081.333333333332,6387.0,6540.333333333333,180.0,0.0,120.0,0.0,1.8310000000000002
