ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_500_0.7_1_Run1,11997.52,59.99,21,0,5061.289373448351,27773.07329608428,3352,10,33700,11442,11749,300,0,200,0,2.065
Gen_Data_500_0.7_2_Run1,11977.45,59.89,15,0,5053.069637799785,26532.536058528203,4221,16,33336,11347,11615,300,0,200,0,2.333
Gen_Data_500_0.7_3_Run1,12026.7,60.13,21,0,5095.978033881971,26469.154242645964,4005,3,33071,10474,10973,300,0,200,0,3.353
Gen_Data_500_0.7_4_Run1,12026.39,60.13,17,5,10077.8898130219,27260.776046810468,3677,14,33487,11222,11768,300,1,200,4,4.251
Gen_Data_500_0.7_5_Run1,12013.52,60.07,17,5,10025.00125268507,26479.05773965606,4706,6,33752,10480,10858,300,0,200,5,2.486
Gen_Data_500_0.7_6_Run1,12018.87,60.09,13,0,5021.451393324344,26461.887925555973,4663,17,33697,10216,10328,300,0,200,0,0.812
Gen_Data_500_0.7_7_Run1,12024.57,60.12,19,0,5075.626911059185,26933.555766448728,3248,10,32754,10250,10548,300,0,200,0,2.257
Gen_Data_500_0.7_8_Run1,12000.51,60.0,16,0,5034.814515175171,27197.040601947814,3459,27,33231,10867,11042,300,0,200,0,0.934
Gen_Data_500_0.7_9_Run1,12021.65,60.11,18,0,5085.78799914516,27198.93790483804,3739,27,33483,10585,10981,300,0,200,0,2.957
Gen_Data_500_0.7_10_Run1,12024.09,60.12,16,0,5090.232097928975,26858.248634620755,3917,47,33352,11304,11718,300,0,200,0,2.235
