ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_500_0.7_1_Run3,1201.08,0.0,0,0,5009.468848837001,27932.68677733202,234,0,30700,11442,11497,300,0,200,0,0.648
Gen_Data_500_0.7_2_Run3,1202.16,0.0,0,0,5004.509384876299,26422.84558372047,182,0,29167,11347,11370,300,0,200,0,0.45
Gen_Data_500_0.7_3_Run3,1201.9,0.0,0,0,5074.238155350067,24559.840803857456,265,0,27373,10474,10817,300,0,200,0,2.863
Gen_Data_500_0.7_4_Run3,1202.05,0.0,0,1,6035.95216537486,25789.917758494008,490,1,28824,11353,11504,300,1,200,0,1.546
Gen_Data_500_0.7_5_Run3,1201.32,0.0,0,0,5127.159919476562,25616.315114311317,315,0,28482,10602,11215,300,0,200,0,3.306
Gen_Data_500_0.7_6_Run3,1201.8,0.0,0,0,5000.0000000008,26408.085730142993,393,0,29348,10216,10216,300,0,200,0,0.0
Gen_Data_500_0.7_7_Run3,1201.87,0.0,0,0,5012.371228675998,25997.352460100326,611,0,29161,10250,10325,300,0,200,0,0.563
Gen_Data_500_0.7_8_Run3,1201.94,0.0,0,0,5003.673469388275,27241.242304793854,406,0,30196,10867,10885,300,0,200,0,0.187
Gen_Data_500_0.7_9_Run3,1201.15,0.0,0,0,5044.119399587566,26396.72980308316,430,0,29372,10585,10804,300,0,200,0,0.945
Gen_Data_500_0.7_10_Run3,1201.2,0.0,0,0,5000.000000000538,26608.549433464817,222,0,29384,11304,11304,300,0,200,0,0.0
