ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_100_0.5_1_Run1,830.41,20.76,12,12,12951.492123102773,4098.745021403944,477,5,5025,1415,1653,60,0,40,12,8.567
Gen_Data_100_0.5_2_Run1,981.73,24.54,11,9,10020.25700575332,4289.920119453343,313,29,5067,2061,2525,60,0,40,9,15.011
Gen_Data_100_0.5_3_Run1,1300.47,32.51,14,11,11931.475269536319,4392.888671734345,287,10,5134,1879,2111,60,0,40,11,9.691
Gen_Data_100_0.5_4_Run1,1173.31,29.33,16,7,8011.716730328495,4148.935310961076,583,0,5202,1789,2061,60,1,40,6,11.087
Gen_Data_100_0.5_5_Run1,1222.51,30.56,11,14,14983.06039476781,4307.363007613263,450,0,5198,1994,2575,60,0,40,14,16.119
Gen_Data_100_0.5_6_Run1,1073.56,26.84,16,11,11969.286135619835,4310.20894946346,378,26,5144,1962,2360,60,0,40,11,14.571
Gen_Data_100_0.5_7_Run1,833.45,20.84,11,12,12935.148347787006,4365.073671278298,389,0,5206,1755,1976,60,1,40,11,7.107
Gen_Data_100_0.5_8_Run1,1265.14,31.63,10,11,11969.932772875392,4317.293914802509,457,2,5231,1966,2371,60,0,40,11,13.73
Gen_Data_100_0.5_9_Run1,1120.64,28.02,9,9,9930.859568633656,4242.598205525314,435,0,5157,1880,1962,60,0,40,9,4.405
Gen_Data_100_0.5_10_Run1,1219.36,30.48,12,13,14039.775346255772,4344.603374801905,406,25,5198,2157,2938,60,0,40,13,22.846
