ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_100_0.5_1_Run2,962.62,24.07,14,12,12931.716700695028,4265.764936942931,289,1,5002,1379,1544,60,0,40,12,7.22
Gen_Data_100_0.5_2_Run2,1039.85,26.0,8,13,13915.803846622364,4428.088607351488,257,27,5134,2020,2222,60,1,40,12,11.413
Gen_Data_100_0.5_3_Run2,1110.89,27.77,15,10,10955.59316223575,4396.997167884057,272,4,5129,1871,2161,60,0,40,10,10.852
Gen_Data_100_0.5_4_Run2,1242.43,31.06,17,8,8989.3534636448,4363.943966330594,335,24,5164,1773,2068,60,1,40,7,10.532
Gen_Data_100_0.5_5_Run2,1378.06,34.45,14,15,15953.289232678717,4494.295026198831,199,0,5122,2073,2585,60,0,40,15,18.286
Gen_Data_100_0.5_6_Run2,946.56,23.66,13,10,11001.733364397958,4277.63284692395,438,37,5176,1997,2485,60,0,40,10,17.535
Gen_Data_100_0.5_7_Run2,1047.35,26.18,12,9,10054.17514481921,4537.866326676999,245,0,5246,1810,2297,60,1,40,8,12.526
Gen_Data_100_0.5_8_Run2,1300.67,32.52,11,8,9048.907847655884,4407.959810157008,215,6,5095,2069,2564,60,0,40,8,17.975
Gen_Data_100_0.5_9_Run2,1173.25,29.33,11,8,8956.377293795445,4558.682610118469,170,0,5206,1953,2151,60,0,40,8,6.389
Gen_Data_100_0.5_10_Run2,1125.13,28.13,11,10,11091.900828957323,4305.677010489703,307,35,5070,2284,3225,60,0,40,10,24.321
