BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_100_0.5_1,532.5666666666666,0.0,0.0,3.6666666666666665,4663.799867867591,4137.636995195868,25.0,0.0,4644.0,1594.0,1647.3333333333333,60.0,3.6666666666666665,40.0,0.0,3.1050000000000004
Gen_Data_100_0.5_2,326.0266666666667,0.0,0.0,13.333333333333334,14315.871640897409,4231.978890783253,103.66666666666667,27.333333333333332,4780.333333333333,2364.0,2543.0,60.0,13.333333333333334,40.0,0.0,17.213333333333335
Gen_Data_100_0.5_3,339.62,0.0,0.0,7.0,8000.51184759861,4376.77001738111,47.666666666666664,7.666666666666667,4897.333333333333,2218.0,2343.3333333333335,60.0,7.0,40.0,0.0,11.190333333333333
Gen_Data_100_0.5_4,433.3866666666667,0.0,0.0,4.666666666666667,5713.933160888773,4211.393551705986,11.333333333333334,1.0,4702.333333333333,1885.0,2096.3333333333335,60.0,4.666666666666667,40.0,0.0,11.100666666666669
Gen_Data_100_0.5_5,577.4566666666667,0.0,0.0,7.0,8107.745486304021,4350.418977131761,52.333333333333336,22.333333333333332,4871.333333333333,2342.0,2904.0,60.0,7.0,40.0,0.0,21.560999999999996
Gen_Data_100_0.5_6,336.18,0.0,0.0,10.666666666666666,11720.463881081552,4290.32112116009,77.0,26.333333333333332,4818.333333333333,2243.0,2630.3333333333335,60.0,10.666666666666666,40.0,0.0,17.922666666666668
Gen_Data_100_0.5_7,276.03999999999996,0.0,0.0,10.333333333333334,11349.060738968119,4304.18194802045,104.0,13.0,4862.333333333333,2122.0,2223.3333333333335,60.0,10.333333333333334,40.0,0.0,13.135333333333334
Gen_Data_100_0.5_8,289.18666666666667,0.0,0.0,8.0,9083.50064183541,4379.404550327464,12.666666666666666,3.0,4856.666666666667,2344.0,2754.3333333333335,60.0,8.0,40.0,0.0,20.130666666666666
Gen_Data_100_0.5_9,363.76666666666665,0.0,0.0,3.3333333333333335,4369.763091299867,4398.109918169139,42.333333333333336,6.666666666666667,4938.666666666667,2192.0,2311.3333333333335,60.0,3.3333333333333335,40.0,0.0,11.240333333333332
Gen_Data_100_0.5_10,186.06000000000003,0.0,0.0,12.0,13015.70217807059,4124.544655154619,232.0,22.0,4803.0,2506.0,2764.0,60.0,12.0,40.0,0.0,19.425
