BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_100_0.5_1,945.6999999999999,23.643333333333334,15.333333333333334,12.0,12954.204992955862,4322.366339627625,226.0,2.0,4995.333333333333,1392.3333333333333,1620.6666666666667,60.0,0.0,40.0,12.0,8.083
Gen_Data_100_0.5_2,1083.24,27.08,10.333333333333334,9.0,10008.01941508123,4397.0426592823615,252.66666666666666,12.666666666666666,5118.0,2106.6666666666665,2550.6666666666665,60.0,0.3333333333333333,40.0,8.666666666666666,17.135
Gen_Data_100_0.5_3,1146.7766666666666,28.669999999999998,13.666666666666666,10.333333333333334,11271.38895981532,4421.427429301605,303.0,5.0,5182.666666666667,1854.0,2066.0,60.0,0.0,40.0,10.333333333333334,7.8870000000000005
Gen_Data_100_0.5_4,1172.7700000000002,29.319999999999997,13.666666666666666,10.666666666666666,11626.63774598492,4297.884146136305,374.0,12.0,5126.333333333333,1684.3333333333333,1941.3333333333333,60.0,1.0,40.0,9.666666666666666,10.264666666666667
Gen_Data_100_0.5_5,1297.0266666666666,32.42666666666667,14.333333333333334,14.666666666666666,15639.072815339598,4475.863919696033,212.66666666666666,7.666666666666667,5123.666666666667,2026.0,2548.3333333333335,60.0,0.0,40.0,14.666666666666666,17.329666666666665
Gen_Data_100_0.5_6,990.2466666666666,24.753333333333334,13.0,10.0,11026.554078565927,4392.236016738026,327.6666666666667,27.0,5177.0,2002.0,2540.3333333333335,60.0,0.3333333333333333,40.0,9.666666666666666,16.741
Gen_Data_100_0.5_7,1010.1199999999999,25.25333333333333,12.666666666666666,10.0,10979.83639967441,4508.4487569226485,262.3333333333333,0.0,5230.0,1794.6666666666667,2093.6666666666665,60.0,1.0,40.0,9.0,9.380666666666665
Gen_Data_100_0.5_8,1209.7733333333333,30.243333333333336,10.333333333333334,10.0,11016.675750907358,4402.931338625555,264.0,19.0,5130.0,1994.6666666666667,2470.6666666666665,60.0,0.0,40.0,10.0,16.37
Gen_Data_100_0.5_9,1210.8833333333332,30.27,11.333333333333334,8.666666666666666,9612.974354667489,4388.882195969273,323.6666666666667,5.0,5186.333333333333,1889.6666666666667,2055.0,60.0,0.0,40.0,8.666666666666666,5.494
Gen_Data_100_0.5_10,1050.24,26.25666666666667,11.666666666666666,14.333333333333334,15332.343629617268,4434.511399851188,276.3333333333333,21.666666666666668,5147.333333333333,2166.3333333333335,2900.6666666666665,60.0,0.0,40.0,14.333333333333334,20.663666666666668
