ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_500_0.5_1_Run1,11958.12,59.79,40,21,26223.823201136012,20095.043403750715,1231,135,23735,10787,12891,300,0,200,21,15.255
Gen_Data_500_0.5_2_Run1,11925.04,59.63,55,21,26395.63936458544,19664.72931331309,1494,138,23594,10709,13136,300,0,200,21,17.292
Gen_Data_500_0.5_3_Run1,12022.92,60.11,26,31,35974.71785413616,19988.670113703265,1111,50,23493,9553,10954,300,1,200,30,11.826
Gen_Data_500_0.5_4_Run1,12021.67,60.11,35,35,40020.35173618037,19544.12307447471,1212,66,23101,10419,12189,300,0,200,35,13.383
Gen_Data_500_0.5_5_Run1,11998.46,59.99,37,25,30056.743196619183,19865.5107645311,1442,35,23718,9834,11164,300,5,200,20,11.036
Gen_Data_500_0.5_6_Run1,11996.77,59.98,50,14,19364.956318755078,19924.32153521129,1818,83,24204,9891,12015,300,0,200,14,16.782
Gen_Data_500_0.5_7_Run1,12022.83,60.11,31,31,35856.194910438666,20015.797693818542,1226,22,23612,9312,9906,300,0,200,31,6.127
Gen_Data_500_0.5_8_Run1,11973.4,59.87,46,24,29136.3111855377,20112.250113859347,1653,91,24166,10077,11671,300,0,200,24,12.648
Gen_Data_500_0.5_9_Run1,12005.56,60.03,35,22,27091.18631543802,19987.314611759783,1139,53,23543,9921,11133,300,0,200,22,10.869
Gen_Data_500_0.5_10_Run1,12021.96,60.11,37,24,29221.704978837355,19648.509316347754,1281,100,23354,10467,12680,300,0,200,24,14.34
