ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_500_0.5_1_Run1,1201.58,0.0,0,3,8603.61032250345,20749.458006576686,110,37,23370,11442,14178,300,3,200,0,18.947
Gen_Data_500_0.5_2_Run1,1201.19,0.0,0,5,10905.299770108839,20234.61046034915,130,49,22883,11347,15335,300,5,200,0,23.914
Gen_Data_500_0.5_3_Run1,1201.79,0.0,0,12,17475.51654402743,19935.333012128944,219,49,22614,10474,12610,300,12,200,0,16.219
Gen_Data_500_0.5_4_Run1,1201.73,0.0,0,12,17560.715299285752,20242.523133608123,156,23,22869,11353,13840,300,12,200,0,18.059
Gen_Data_500_0.5_5_Run1,1201.13,0.0,0,20,25377.690381286255,20268.00464515569,263,43,22966,10602,12219,300,20,200,0,15.039
Gen_Data_500_0.5_6_Run1,1201.69,0.0,0,7,12403.464212134772,20346.863665902245,103,10,22941,10216,11908,300,7,200,0,14.247
Gen_Data_500_0.5_7_Run1,1201.88,0.0,0,6,11447.871444054505,19985.296991553238,134,21,22618,10250,12261,300,6,200,0,14.3
Gen_Data_500_0.5_8_Run1,1202.2,0.0,0,3,8507.919854663101,20457.693608293346,162,27,23129,10867,13378,300,3,200,0,17.764
Gen_Data_500_0.5_9_Run1,1201.19,0.0,0,12,17587.63338783659,20384.76726442223,235,58,23087,10585,12612,300,12,200,0,16.934
Gen_Data_500_0.5_10_Run1,1201.77,0.0,0,6,11661.34124847403,20087.37900296443,220,26,22816,11304,13961,300,6,200,0,18.911
