BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_500_0.5_1,11941.006666666668,59.70333333333334,36.0,27.666666666666668,32774.078795317,20012.779450783983,1337.0,70.33333333333333,23729.666666666668,10511.333333333334,12275.333333333334,300.0,0.0,200.0,27.666666666666668,13.526000000000002
Gen_Data_500_0.5_2,11931.29,59.656666666666666,52.666666666666664,21.333333333333332,26648.83827052958,19775.12475974477,1317.3333333333333,102.66666666666667,23522.666666666668,10639.666666666666,12868.0,300.0,0.0,200.0,21.333333333333332,16.169666666666668
Gen_Data_500_0.5_3,12023.17,60.11333333333334,25.333333333333332,33.0,37977.703061911605,19819.357813133945,1185.3333333333333,43.666666666666664,23380.0,9571.666666666666,10965.333333333334,300.0,1.0,200.0,32.0,11.532333333333334
Gen_Data_500_0.5_4,12019.673333333334,60.09666666666667,36.666666666666664,32.0,37053.035865652266,19763.713942376893,1097.6666666666667,69.33333333333333,23228.0,10443.0,12211.333333333334,300.0,0.0,200.0,32.0,13.086333333333334
Gen_Data_500_0.5_5,11996.536666666667,59.98333333333333,33.666666666666664,23.0,28093.38466048235,20050.61412900771,1257.6666666666667,40.0,23724.333333333332,9976.333333333334,11391.333333333334,300.0,1.6666666666666667,200.0,21.333333333333332,11.877666666666665
Gen_Data_500_0.5_6,12000.529999999999,60.0,39.333333333333336,15.666666666666666,20938.889696205686,19717.057031223547,1791.6666666666667,76.0,23957.0,9845.333333333334,11734.333333333334,300.0,0.0,200.0,15.666666666666666,14.819333333333333
Gen_Data_500_0.5_7,12020.763333333334,60.10333333333333,28.333333333333332,35.666666666666664,40496.47568075914,20032.475712270298,1108.6666666666667,22.333333333333332,23494.0,9300.666666666666,10051.666666666666,300.0,0.0,200.0,35.666666666666664,6.998666666666668
Gen_Data_500_0.5_8,11980.590000000002,59.90333333333333,40.666666666666664,26.333333333333332,31457.822255301988,20112.969112575596,1613.0,78.0,24120.333333333332,10038.666666666666,11717.0,300.0,0.0,200.0,26.333333333333332,12.835666666666668
Gen_Data_500_0.5_9,11972.583333333334,59.86666666666667,38.0,20.666666666666668,25806.86369730505,19782.231412305013,1311.0,44.666666666666664,23514.0,9991.666666666666,11443.666666666666,300.0,0.0,200.0,20.666666666666668,11.521999999999998
Gen_Data_500_0.5_10,12022.696666666665,60.11333333333334,37.333333333333336,25.666666666666668,30835.26215931932,19463.12543478614,1446.3333333333333,83.66666666666667,23321.333333333332,10339.0,12261.333333333334,300.0,0.0,200.0,25.666666666666668,13.736666666666666
