BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_500_0.5_1,11953.42,59.77,19.666666666666668,46.333333333333336,51168.60029157469,20086.51245262149,1664.3333333333333,55.0,24066.0,9883.333333333334,11235.333333333334,300.0,0.6666666666666666,200.0,45.666666666666664,10.808
Gen_Data_500_0.5_2,11942.13,59.71,31.666666666666668,40.666666666666664,45686.83490550079,20162.64772283912,1601.6666666666667,79.33333333333333,24122.666666666668,10013.333333333334,11800.333333333334,300.0,0.0,200.0,40.666666666666664,13.671999999999999
Gen_Data_500_0.5_3,12016.993333333334,60.083333333333336,14.0,51.333333333333336,56122.66103771731,20055.4943662399,1800.3333333333333,21.666666666666668,24154.666666666668,9158.333333333334,10469.0,300.0,0.6666666666666666,200.0,50.666666666666664,10.035666666666666
Gen_Data_500_0.5_4,12022.676666666666,60.11333333333334,22.333333333333332,44.666666666666664,49564.44779139295,20107.71461076995,1775.6666666666667,49.666666666666664,24208.666666666668,10104.333333333334,11670.666666666666,300.0,0.0,200.0,44.666666666666664,12.031333333333334
Gen_Data_500_0.5_5,11978.456666666665,59.89333333333334,27.0,32.666666666666664,37623.76582514666,20097.596894377577,1727.0,47.666666666666664,24215.333333333332,9685.0,10900.666666666666,300.0,1.6666666666666667,200.0,31.0,10.557
Gen_Data_500_0.5_6,11978.5,59.89333333333334,30.0,36.333333333333336,41353.00487143586,20099.219189885305,1775.0,44.0,24237.666666666668,9298.333333333334,10945.0,300.0,0.0,200.0,36.333333333333336,12.516666666666666
Gen_Data_500_0.5_7,12005.796666666667,60.03,10.0,60.333333333333336,64914.421287884004,20043.15150860772,1620.6666666666667,32.0,23917.333333333332,8681.333333333334,9371.0,300.0,0.0,200.0,60.333333333333336,6.147333333333333
Gen_Data_500_0.5_8,11987.87,59.94,25.666666666666668,44.0,48886.969743891204,20266.23013014819,1652.3333333333333,87.66666666666667,24244.333333333332,9607.666666666666,11128.333333333334,300.0,0.0,200.0,44.0,11.437666666666667
Gen_Data_500_0.5_9,11972.236666666666,59.85999999999999,27.333333333333332,33.333333333333336,38249.54560233851,20197.826394551448,1444.3333333333333,30.666666666666668,24013.333333333332,9631.0,10582.333333333334,300.0,0.0,200.0,33.333333333333336,8.362
Gen_Data_500_0.5_10,12015.13,60.07666666666666,30.666666666666668,41.333333333333336,46252.140105362225,20041.90406521889,1785.0,60.333333333333336,24176.333333333332,9842.0,11224.333333333334,300.0,0.0,200.0,41.333333333333336,10.640666666666668
