ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_100_0.7_1_Run1,2401.59,60.04,5,0,1005.7142857142857,5224.448476951945,805,0,6537,1594,1618,60,0,40,0,1.19
Gen_Data_100_0.7_2_Run1,2401.23,60.03,10,2,3001.067043893019,5603.939834389981,610,0,6717,2283,2378,60,0,40,2,3.651
Gen_Data_100_0.7_3_Run1,2401.26,60.03,11,2,3000.4702605857415,5536.960943239263,599,9,6636,2164,2285,60,0,40,2,2.636
Gen_Data_100_0.7_4_Run1,2401.19,60.03,9,0,1017.6771561771561,5005.219928609398,634,0,6142,1885,1974,60,0,40,0,4.569
Gen_Data_100_0.7_5_Run1,2401.15,60.03,11,1,2030.1652794917502,5444.749618257596,677,31,6625,2333,2554,60,0,40,1,6.791
Gen_Data_100_0.7_6_Run1,2401.14,60.03,10,2,2988.2557195682894,5550.867281466185,465,0,6512,2161,2186,60,0,40,2,1.323
Gen_Data_100_0.7_7_Run1,2401.18,60.03,7,1,2009.4288330716902,5303.327289399659,1052,39,6860,2063,2172,60,0,40,1,2.228
Gen_Data_100_0.7_8_Run1,2401.2,60.03,9,0,1076.569122043571,5306.313062653926,983,7,6795,2344,2718,60,0,40,0,10.552
Gen_Data_100_0.7_9_Run1,2401.57,60.04,5,1,2023.2573072291118,5292.074850353024,632,7,6439,2148,2298,60,0,40,1,4.127
Gen_Data_100_0.7_10_Run1,2401.19,60.03,12,0,1047.3609905558212,5403.206737054362,627,6,6538,2506,2747,60,0,40,0,7.373
