ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest,TotalEmptyRelocationTime,TotalNumberOfRequestsOverlapIdleVehicle,TotalDriveTimeToNearestIdleVehicle
Gen_Data_100_0.5_1_Run2,494.83,12.37,13,14,14951.596408160296,4243.971585522446,260,8,4944,1834,2195,60,0,40,14,11.798,3.61,389,11,431
Gen_Data_100_0.5_2_Run2,509.16,12.72,19,13,14087.691321222206,4040.797242870966,373,8,4859,1698,2404,60,0,40,13,19.413,7.06,472,13,334
Gen_Data_100_0.5_3_Run2,538.43,13.45,9,18,18899.154893841594,4000.1499479091426,524,1,4943,1659,1876,60,0,40,18,7.832,2.17,361,13,416
Gen_Data_100_0.5_4_Run2,569.24,14.22,5,23,23844.454470386976,4072.07393261393,239,0,4706,1667,1939,60,0,40,23,8.588,2.72,212,10,334
Gen_Data_100_0.5_5_Run2,452.25,11.3,13,14,14944.303339378548,4195.565817948169,183,0,4814,1796,2097,60,0,40,14,10.334,3.01,334,7,199
Gen_Data_100_0.5_6_Run2,493.29,12.33,3,18,18993.52549450257,3962.585928091803,462,0,4845,1868,2570,60,0,40,18,19.025,7.02,346,4,158
Gen_Data_100_0.5_7_Run2,460.38,11.5,15,12,12991.125358158892,4009.918253337902,412,0,4874,1895,2417,60,0,40,12,14.075,5.22,294,12,294
Gen_Data_100_0.5_8_Run2,468.57,11.71,18,11,12011.232345059012,3907.551527599598,320,58,4684,1680,2043,60,0,40,11,8.534,3.63,351,13,555
Gen_Data_100_0.5_9_Run2,543.01,13.57,9,20,20923.524888409967,4018.141701543777,373,18,4808,1791,2371,60,0,40,20,17.331,5.8,233,16,516
Gen_Data_100_0.5_10_Run2,463.84,11.59,10,13,13961.761530344513,4091.024745994812,359,1,4895,1525,1861,60,0,40,13,9.538,3.36,435,8,149
