ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest,TotalEmptyRelocationTime,TotalNumberOfRequestsOverlapIdleVehicle,TotalDriveTimeToNearestIdleVehicle
Gen_Data_100_0.5_1_Run3,194.42,4.86,4,19,19855.890929083474,4045.588840888012,410,16,4866,1721,1896,60,0,40,19,9.411,1.75,565,10,334
Gen_Data_100_0.5_2_Run3,200.12,4.99,12,16,16937.313318352804,4031.6609556516764,385,0,4845,1541,1957,60,0,40,16,12.714,4.16,669,11,220
Gen_Data_100_0.5_3_Run3,198.5,4.96,6,18,18854.06385987186,3898.2170862317007,575,8,4888,1754,1928,60,0,40,18,7.339,1.74,584,13,337
Gen_Data_100_0.5_4_Run3,193.88,4.84,6,25,25797.240754463983,4012.502804096363,269,10,4664,1611,1791,60,0,40,25,7.268,1.8,559,8,228
Gen_Data_100_0.5_5_Run3,196.53,4.91,10,17,17895.959578848087,3974.020750676109,435,3,4833,1768,2035,60,0,40,17,9.806,2.67,593,6,103
Gen_Data_100_0.5_6_Run3,190.1,4.75,5,16,16951.28784492105,3983.19433560589,497,0,4907,1803,2287,60,0,40,16,16.47,4.84,610,4,182
Gen_Data_100_0.5_7_Run3,185.18,4.62,11,12,13019.460068676595,3888.100350429879,540,32,4875,1885,2491,60,0,40,12,13.954,6.06,484,12,225
Gen_Data_100_0.5_8_Run3,197.89,4.94,6,14,14921.02661440247,3882.7280997089406,403,8,4728,1635,1900,60,0,40,14,7.766,2.65,743,15,539
Gen_Data_100_0.5_9_Run3,191.79,4.79,7,19,19904.43823214659,3978.2524314301927,414,0,4809,1822,2315,60,0,40,19,16.108,4.93,466,14,402
Gen_Data_100_0.5_10_Run3,191.91,4.79,12,14,14954.72574405428,4083.5304274655487,353,0,4866,1525,1866,60,0,40,14,8.739,3.41,471,7,156
