ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_100_0.7_1_Run3,230.9,5.77,10,3,4022.832059363205,5050.086568227662,605,0,6155,2087,2244,60,0,40,3,2.954
Gen_Data_100_0.7_2_Run3,208.64,5.22,16,0,1079.9693216253772,5009.057163117571,508,12,6030,2014,2382,60,0,40,0,8.513
Gen_Data_100_0.7_3_Run3,213.79,5.34,11,3,4053.614645898106,5248.585247409946,405,0,6158,2109,2443,60,0,40,3,8.649
Gen_Data_100_0.7_4_Run3,258.76,6.47,15,5,6023.587593266979,5062.975698832274,318,0,5869,1943,2215,60,0,40,5,8.124
Gen_Data_100_0.7_5_Run3,211.92,5.3,12,2,3017.652543668413,5048.039689321626,476,0,6030,2208,2391,60,0,40,2,5.137
Gen_Data_100_0.7_6_Run3,239.94,6.0,15,3,4072.19944928107,5265.17747228937,400,57,6157,2151,2590,60,0,40,3,13.179
Gen_Data_100_0.7_7_Run3,279.45,6.99,11,8,8959.821819607023,4749.95623756877,563,13,5786,1971,2162,60,0,40,8,7.705
Gen_Data_100_0.7_8_Run3,241.15,6.03,11,2,3011.7560431055012,4830.2617004291715,516,15,5852,1886,2043,60,0,40,2,4.52
Gen_Data_100_0.7_9_Run3,242.04,6.05,9,5,5989.470063184897,5301.6796204902475,460,0,6249,2198,2392,60,0,40,5,6.283
Gen_Data_100_0.7_10_Run3,180.19,4.5,8,0,1043.8131524272828,5033.7915725928115,467,0,6015,1887,2064,60,0,40,0,4.383
