BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_100_0.7_1,1200.53,0.0,0.0,0.0,1000.0000000000182,5408.357911448256,124.0,0.0,6037.0,1594.0,1594.0,60.0,0.0,40.0,0.0,0.0
Gen_Data_100_0.7_2,1200.5633333333333,0.0,0.0,0.0,1007.8816202546344,5727.1475954014195,32.333333333333336,0.0,6273.333333333333,2364.0,2402.0,60.0,0.0,40.0,0.0,2.7213333333333334
Gen_Data_100_0.7_3,1200.51,0.0,0.0,0.0,1001.7543859646479,5871.788198306826,121.33333333333333,0.0,6502.666666666667,2218.0,2228.0,60.0,0.0,40.0,0.0,0.8993333333333333
Gen_Data_100_0.7_4,1200.7466666666667,0.0,0.0,0.0,999.9999999999849,5140.245861249506,118.33333333333333,0.0,5763.0,1885.0,1885.0,60.0,0.0,40.0,0.0,0.0
Gen_Data_100_0.7_5,1200.72,0.0,0.0,0.0,1006.6058091300243,5740.047540872697,17.333333333333332,0.0,6262.666666666667,2342.0,2376.6666666666665,60.0,0.0,40.0,0.0,2.471
Gen_Data_100_0.7_6,1200.5200000000002,0.0,0.0,0.0,1004.6621933622167,5696.96508030126,47.333333333333336,0.0,6256.333333333333,2243.0,2259.0,60.0,0.0,40.0,0.0,1.0836666666666668
Gen_Data_100_0.7_7,1200.7333333333333,0.0,0.0,0.0,1003.7651331719195,5501.187204635535,305.0,0.0,6315.333333333333,2122.0,2145.0,60.0,0.0,40.0,0.0,0.794
Gen_Data_100_0.7_8,1200.6233333333332,0.0,0.0,0.0,1016.7130397648092,5441.8700303919795,1.3333333333333333,1.3333333333333333,5946.0,2344.0,2428.3333333333335,60.0,0.0,40.0,0.0,3.907
Gen_Data_100_0.7_9,1200.76,0.0,0.0,0.0,1000.0000000000194,5686.211909538641,94.33333333333333,0.0,6301.666666666667,2192.0,2192.0,60.0,0.0,40.0,0.0,0.0
Gen_Data_100_0.7_10,1200.7133333333334,0.0,0.0,0.0,1018.754162250693,5565.291243828548,96.33333333333333,0.0,6164.333333333333,2506.0,2607.0,60.0,0.0,40.0,0.0,3.778
