BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean,TotalEmptyRelocationTime_mean,TotalNumberOfRequestsOverlapIdleVehicle_mean,TotalDriveTimeToNearestIdleVehicle_mean
Gen_Data_100_0.5_1,469.45,11.726,11.4,14.2,15113.46729383083,4188.392449822951,296.0,6.2,4920.6,1812.0,2033.2,60.0,0.0,40.0,14.2,8.8882,2.212,627.4,10.6,325.2
Gen_Data_100_0.5_2,460.25,11.496,15.4,13.0,14030.536382670154,4044.451878403515,368.2,2.6,4859.6,1687.6,2303.2,60.0,0.0,40.0,13.0,17.2878,6.156000000000001,701.2,12.4,346.0
Gen_Data_100_0.5_3,511.9,12.791999999999998,6.4,19.0,19891.95803050727,4111.5350578957095,337.2,0.2,4862.2,1690.0,1967.4,60.0,0.0,40.0,19.0,11.3154,2.774,654.4,12.4,413.8
Gen_Data_100_0.5_4,562.524,14.056000000000001,6.6,21.8,22687.251885996197,3913.753670651985,338.2,9.6,4652.4,1691.2,2128.4,60.0,0.0,40.0,21.8,10.7168,4.372,603.4,8.8,213.4
Gen_Data_100_0.5_5,469.15200000000004,11.722,11.8,15.0,15913.960498151082,4077.1301031716953,306.6,6.2,4818.2,1803.0,2060.0,60.0,0.0,40.0,15.0,9.2266,2.57,648.6,6.0,116.8
Gen_Data_100_0.5_6,510.032,12.741999999999999,8.6,18.0,18925.85238750511,3990.8352701555605,412.2,7.2,4819.8,1788.4,2261.6,60.0,0.0,40.0,18.0,16.1648,4.732,653.2,5.0,200.4
Gen_Data_100_0.5_7,431.62600000000003,10.784,14.6,11.8,12799.44102685853,4031.5429073288565,363.4,21.0,4847.2,1883.0,2382.4,60.0,0.0,40.0,11.8,14.4702,4.994000000000001,518.0,12.8,358.2
Gen_Data_100_0.5_8,453.134,11.322,10.6,13.6,14551.589567124098,3991.1803144198866,255.8,6.8,4691.4,1645.6,1962.2,60.0,0.0,40.0,13.6,9.4926,3.166,510.4,13.8,609.4
Gen_Data_100_0.5_9,476.8299999999999,11.914,13.0,15.0,15988.356423417034,4130.721906145622,306.0,57.6,4878.2,1925.0,2558.6,60.0,0.0,40.0,15.0,18.053800000000003,6.336,560.2,14.2,416.6
Gen_Data_100_0.5_10,427.84000000000003,10.684,9.8,13.8,14717.183333644038,4155.569845109705,313.2,1.8,4904.6,1548.8,1777.8,60.0,0.0,40.0,13.8,7.171000000000001,2.29,559.2,7.2,195.8
