BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean,TotalEmptyRelocationTime_mean,TotalNumberOfRequestsOverlapIdleVehicle_mean,TotalDriveTimeToNearestIdleVehicle_mean
Gen_Data_20_0.5_1,43.188,5.378,0.0,3.0,3175.223214285714,1008.65438082592,438.0,0.0,1532.0,406.0,436.0,12.0,1.0,8.0,2.0,4.0,1.5,282.0,1.0,58.0
Gen_Data_20_0.5_2,63.712,7.942,0.0,3.0,3170.0,1101.8726546593355,440.0,0.0,1627.0,337.0,337.0,12.0,0.0,8.0,3.0,0.0,0.0,261.0,3.0,113.0
Gen_Data_20_0.5_3,43.25599999999999,5.384000000000001,0.0,3.0,3170.0,1294.85129545776,248.0,0.0,1630.0,295.0,295.0,12.0,1.0,8.0,2.0,0.0,0.0,371.0,1.0,115.0
Gen_Data_20_0.5_4,62.548,7.795999999999999,0.0,6.0,6159.53488372093,975.0195430384014,512.0,0.0,1559.0,344.0,428.0,12.0,3.0,8.0,3.0,6.667,4.2,141.0,2.0,77.0
Gen_Data_20_0.5_5,64.638,8.042,2.0,3.0,3191.5871094200393,1106.949221112295,288.0,0.0,1482.8,344.0,444.0,12.0,0.0,8.0,3.0,11.9998,5.0,331.6,1.0,18.0
Gen_Data_20_0.5_6,4.138,0.492,0.0,3.0,3183.549019607843,1038.9508360659217,548.0,0.0,1676.0,373.0,441.0,12.0,3.0,8.0,0.0,8.571,3.4,300.0,1.0,10.0
Gen_Data_20_0.5_7,45.623999999999995,5.6739999999999995,1.0,2.0,2180.0,1118.1126066082288,243.0,0.0,1455.0,244.0,244.0,12.0,0.0,8.0,2.0,0.0,0.0,289.0,1.0,40.0
Gen_Data_20_0.5_8,44.884,5.59,2.0,2.0,2180.0,1147.321108041736,370.6,0.0,1609.6,348.0,348.0,12.0,0.0,8.0,2.0,0.0,0.0,189.0,2.0,127.0
Gen_Data_20_0.5_9,23.986,2.9780000000000006,0.0,3.0,3170.0,1071.4484565780126,425.0,0.0,1586.0,296.0,296.0,12.0,2.0,8.0,1.0,0.0,0.0,341.0,3.0,179.0
Gen_Data_20_0.5_10,62.452,7.786,0.0,6.0,6171.549525988885,842.3645247614479,587.0,0.0,1503.0,208.0,318.0,12.0,3.0,8.0,3.0,10.667,5.5,187.0,1.0,76.0
