BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean,TotalEmptyRelocationTime_mean,TotalNumberOfRequestsOverlapIdleVehicle_mean,TotalDriveTimeToNearestIdleVehicle_mean
Gen_Data_20_0.5_1,43.1,5.368,0.0,3.0,3175.223214285714,1031.2342069136553,414.0,0.0,1532.0,406.0,436.0,12.0,1.0,8.0,2.0,4.0,1.5,144.0,4.0,152.0
Gen_Data_20_0.5_2,64.05799999999999,7.974000000000001,0.0,3.0,3170.0,1145.6823396314167,394.0,0.0,1627.0,337.0,337.0,12.0,0.0,8.0,3.0,0.0,0.0,108.0,3.0,80.0
Gen_Data_20_0.5_3,43.172,5.376,1.0,3.0,3170.0,1234.8793968462312,280.6,0.0,1604.0,323.0,323.0,12.0,1.0,8.0,2.0,0.0,0.0,241.4,2.0,142.0
Gen_Data_20_0.5_4,62.556000000000004,7.8,0.0,6.0,6159.53488372093,914.849432429266,572.0,0.0,1561.0,342.0,426.0,12.0,3.0,8.0,3.0,6.667,4.2,58.0,1.0,63.0
Gen_Data_20_0.5_5,65.162,8.114,2.0,3.0,3191.5871094200393,1156.7281355249245,225.4,0.0,1473.6,344.0,444.0,12.0,0.0,8.0,3.0,12.066399999999998,5.0,161.4,0.0,0.0
Gen_Data_20_0.5_6,3.9120000000000004,0.466,0.0,3.0,3183.549019607843,1071.447352071994,515.0,0.0,1676.0,373.0,441.0,12.0,3.0,8.0,0.0,8.571,3.4,231.0,1.0,43.0
Gen_Data_20_0.5_7,30.238,3.7520000000000002,2.0,1.2,1388.0,1108.9900207513251,195.6,0.0,1404.0,248.8,248.8,12.0,0.0,8.0,1.2,0.0,0.0,142.0,0.0,0.0
Gen_Data_20_0.5_8,45.358000000000004,5.636,2.0,2.0,2180.0,1195.8856892348076,268.6,0.0,1558.6,348.0,348.0,12.0,0.0,8.0,2.0,0.0,0.0,90.0,0.4,9.2
Gen_Data_20_0.5_9,23.932,2.972,0.0,3.0,3170.0,1113.0704781591594,383.0,0.0,1586.0,296.0,296.0,12.0,2.0,8.0,1.0,0.0,0.0,120.0,4.0,204.0
Gen_Data_20_0.5_10,42.886,5.342,0.0,5.0,5181.549525988885,954.6644042882883,563.0,0.0,1597.0,217.0,327.0,12.0,3.0,8.0,2.0,9.0,5.5,89.0,1.0,5.0
