ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_0.7_1_Run2,1201.37,0.0,0,0,3009.1793313070393,16080.051559762047,256,0,17866,6488,6539,180,0,120,0,0.807
Gen_Data_300_0.7_2_Run2,1201.63,0.0,0,0,3005.007974482658,15983.984063812239,0,0,17510,6370,6392,180,0,120,0,0.565
Gen_Data_300_0.7_3_Run2,1201.45,0.0,0,0,3000.000000000233,15896.289829009062,402,0,17838,6052,6052,180,0,120,0,0.0
Gen_Data_300_0.7_4_Run2,1201.02,0.0,0,0,3025.372761407765,15380.843621301961,265,0,17186,6410,6554,180,0,120,0,2.125
Gen_Data_300_0.7_5_Run2,1201.18,0.0,0,0,3019.8893172881253,15607.160707899091,267,1,17397,6626,6719,180,0,120,0,1.443
Gen_Data_300_0.7_6_Run2,1200.73,0.0,0,0,3000.0000000008586,15584.747465478726,247,0,17362,6180,6180,180,0,120,0,0.0
Gen_Data_300_0.7_7_Run2,1201.31,0.0,0,0,3025.4530133455264,16366.305818647603,266,12,18169,6958,7052,180,0,120,0,1.648
Gen_Data_300_0.7_8_Run2,1201.37,0.0,0,0,3000.0000000004657,15805.344201624155,150,0,17481,6141,6141,180,0,120,0,0.0
Gen_Data_300_0.7_9_Run2,1201.32,0.0,0,0,3018.927663869792,16053.004058805329,316,0,17877,6640,6745,180,0,120,0,1.796
Gen_Data_300_0.7_10_Run2,1201.14,0.0,0,0,3003.5820895522193,16511.346571640694,349,0,18381,6387,6411,180,0,120,0,0.621
