ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest,TotalEmptyRelocationTime,TotalNumberOfRequestsOverlapIdleVehicle,TotalDriveTimeToNearestIdleVehicle
Gen_Data_300_0.5_1_Run5,2374.12,19.77,14,31,33812.96706956691,11782.245387833167,977,22,14132,4973,5468,180,0,120,31,7.311,1.65,2166,34,886
Gen_Data_300_0.5_2_Run5,2381.54,19.84,16,29,32044.70613919975,12272.243341503008,646,12,14292,6121,7617,180,0,120,29,15.831,4.986666666666666,1598,34,688
Gen_Data_300_0.5_3_Run5,2392.42,19.93,10,37,39806.92902926411,12147.668929315942,756,40,14252,5649,6428,180,0,120,37,10.781,2.5966666666666667,2067,35,709
Gen_Data_300_0.5_4_Run5,2358.56,19.65,16,29,31878.937036645584,12021.457316141983,988,53,14404,5535,6276,180,0,120,29,8.446,2.47,1514,44,984
Gen_Data_300_0.5_5_Run5,2395.18,19.96,8,50,52563.01705869098,12241.153290234495,881,19,14397,5057,5354,180,0,120,50,5.177,0.99,2342,47,1272
Gen_Data_300_0.5_6_Run5,2395.08,19.95,16,27,29944.01745396042,12076.317041758724,882,70,14348,5371,6227,180,0,120,27,9.655,2.8533333333333335,1857,39,992
Gen_Data_300_0.5_7_Run5,2408.61,20.07,11,48,50695.24374318728,12411.8048021299,711,22,14407,5602,6517,180,0,120,48,10.5,3.05,1624,42,1066
Gen_Data_300_0.5_8_Run5,2399.39,19.99,15,38,40897.732196254045,12132.06579262622,706,29,14182,6451,7676,180,0,120,38,17.493,4.083333333333333,1773,27,644
Gen_Data_300_0.5_9_Run5,2402.66,20.02,11,29,31920.29105320325,12016.091263846936,833,65,14235,5898,6903,180,0,120,29,12.383,3.35,1881,38,875
Gen_Data_300_0.5_10_Run5,2389.93,19.91,10,36,38855.94601359388,12192.059454232389,812,7,14350,5566,6548,180,0,120,36,10.861,3.2733333333333334,1456,34,746
