BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean,TotalEmptyRelocationTime_mean,TotalNumberOfRequestsOverlapIdleVehicle_mean,TotalDriveTimeToNearestIdleVehicle_mean
Gen_Data_300_0.5_1,1201.1460000000002,0.0,0.0,2.2,5422.710445143694,12050.39846118596,74.6,4.0,13626.6,5770.4,6835.2,180.0,2.2,120.0,0.0,12.782399999999999,3.5493333333333332,124.6,0.0,0.0
Gen_Data_300_0.5_2,1201.024,0.0,0.0,2.2,5603.098570034692,12191.580360338954,80.4,11.4,13769.2,6853.0,8785.0,180.0,2.2,120.0,0.0,20.0332,6.44,180.0,0.0,0.0
Gen_Data_300_0.5_3,1201.084,0.0,0.0,5.6,8987.361520573922,12029.201041276876,100.0,11.8,13615.6,6624.8,8463.2,180.0,5.6,120.0,0.0,20.5744,6.128,159.4,0.0,0.0
Gen_Data_300_0.5_4,1201.236,0.0,0.0,4.6,7978.094880320828,11879.604301477975,141.4,3.6,13516.4,6181.4,7847.0,180.0,4.6,120.0,0.0,17.65,5.552,201.8,0.0,0.0
Gen_Data_300_0.5_5,1201.038,0.0,0.0,5.0,8278.26333091656,12188.429201140883,98.2,12.0,13771.4,6339.8,7826.0,180.0,5.0,120.0,0.0,15.964399999999998,4.954000000000001,161.6,0.0,0.0
Gen_Data_300_0.5_6,1201.34,0.0,0.0,4.0,7265.912246919075,12007.31432354997,139.0,15.8,13632.4,6113.4,7435.4,180.0,4.0,120.0,0.0,15.345000000000002,4.406666666666667,234.6,0.0,0.0
Gen_Data_300_0.5_7,1201.0040000000001,0.0,0.0,8.4,11768.868861482324,12248.972288630415,96.8,14.8,13823.4,6671.8,8621.2,180.0,8.4,120.0,0.0,20.3582,6.497999999999999,161.2,0.0,0.0
Gen_Data_300_0.5_8,1201.2419999999997,0.0,0.0,4.6,8124.695370840369,12249.584810065591,102.0,23.0,13842.2,7313.8,9868.2,180.0,4.6,120.0,0.0,25.6236,8.514666666666667,120.6,0.0,0.0
Gen_Data_300_0.5_9,1200.986,0.0,0.0,1.6,5023.778850046737,12033.86715412809,103.8,3.0,13649.4,6674.4,8585.8,180.0,1.6,120.0,0.0,20.394599999999997,6.371333333333333,158.6,0.0,0.0
Gen_Data_300_0.5_10,1201.134,0.0,0.0,6.2,9414.276419183721,11972.237017146219,193.4,13.0,13657.4,6321.2,7658.8,180.0,6.2,120.0,0.0,14.612399999999997,4.458666666666667,209.0,0.0,0.0
