ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest,TotalEmptyRelocationTime,TotalNumberOfRequestsOverlapIdleVehicle,TotalDriveTimeToNearestIdleVehicle
Gen_Data_500_0.5_1_Run1,1202.37,0.0,0,4,9414.970367490318,19705.32248233676,156,1,22359,10529,12559,300,4,200,0,14.754,4.06,214,0,0
Gen_Data_500_0.5_2_Run1,1201.92,0.0,0,13,18538.259240674448,19543.83155633855,193,28,22189,10939,13835,300,13,200,0,18.81,5.792,333,0,0
Gen_Data_500_0.5_3_Run1,1201.8,0.0,0,16,21381.425286792804,19444.588738553608,252,26,22145,10511,12974,300,16,200,0,17.371,4.926,436,0,0
Gen_Data_500_0.5_4_Run1,1203.41,0.0,0,7,12421.214698015088,19524.20492497739,67,0,22097,10724,13015,300,7,200,0,16.706,4.582,121,0,0
Gen_Data_500_0.5_5_Run1,1203.1,0.0,0,2,7353.951099584982,19927.688263540014,112,18,22558,10562,12163,300,2,200,0,12.216,3.202,169,0,0
Gen_Data_500_0.5_6_Run1,1201.86,0.0,0,15,20319.061084887893,19747.298783532653,180,30,22362,10110,12309,300,15,200,0,13.758,4.398,278,0,0
Gen_Data_500_0.5_7_Run1,1202.14,0.0,0,4,9533.551459233116,19460.297297952326,204,34,22172,10597,13193,300,4,200,0,17.093,5.192,284,0,0
Gen_Data_500_0.5_8_Run1,1203.37,0.0,0,1,6512.9990518242985,19466.651184343653,205,18,22202,10682,13074,300,1,200,0,16.955,4.784,479,0,0
Gen_Data_500_0.5_9_Run1,1201.88,0.0,0,7,12494.482483052576,19413.713208536858,88,9,21994,10281,12408,300,7,200,0,15.463,4.254,194,0,0
Gen_Data_500_0.5_10_Run1,1202.67,0.0,0,4,9588.551963574515,19393.817606588786,236,18,22138,11133,13891,300,4,200,0,19.801,5.516,411,0,0
