ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_500_0.7_1_Run1,12025.82,60.13,17,0,5051.841158887734,27576.327073491986,3660,33,33806,11442,11755,300,0,200,0,2.457
Gen_Data_500_0.7_2_Run1,12027.17,60.14,12,0,5084.743555742296,27025.604438080143,3812,10,33430,11347,11771,300,0,200,0,3.571
Gen_Data_500_0.7_3_Run1,12027.3,60.14,17,1,6080.1401665454905,26569.089584837486,4532,6,33673,10447,10863,300,0,200,1,2.809
Gen_Data_500_0.7_4_Run1,12029.87,60.15,17,4,9087.583440370687,26438.37158855661,4478,35,33461,11235,11858,300,1,200,3,4.092
Gen_Data_500_0.7_5_Run1,12025.97,60.13,18,6,11011.36437438352,26677.930744250167,4411,0,33636,10477,10818,300,0,200,6,3.175
Gen_Data_500_0.7_6_Run1,12028.56,60.14,13,2,7015.429607860067,26433.947755087116,4784,12,33783,10192,10371,300,0,200,2,1.128
Gen_Data_500_0.7_7_Run1,12026.43,60.13,21,0,5063.709181739088,27018.309395820383,3515,0,33124,10250,10496,300,0,200,0,2.346
Gen_Data_500_0.7_8_Run1,12027.87,60.14,18,0,5015.24658328415,26831.514302156767,4011,0,33413,10867,10951,300,0,200,0,0.743
Gen_Data_500_0.7_9_Run1,12024.3,60.12,21,0,5091.188933776488,26762.827356604288,3529,18,32854,10585,11015,300,0,200,0,2.832
Gen_Data_500_0.7_10_Run1,12029.44,60.15,17,2,7047.433867681715,26890.638584985903,3995,27,33426,11272,11625,300,0,200,2,2.276
