BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_500_0.7_1,12025.94,60.129999999999995,18.666666666666668,0.3333333333333333,5398.694974742736,26979.422415787372,3394.6666666666665,9.333333333333334,32914.333333333336,11419.0,11777.0,300.0,0.0,200.0,0.3333333333333333,2.6843333333333335
Gen_Data_500_0.7_2,12025.716666666667,60.129999999999995,16.666666666666668,0.0,5035.497382635532,26298.299861920867,3972.3333333333335,6.666666666666667,32830.666666666664,11347.0,11537.333333333334,300.0,0.0,200.0,0.0,2.0403333333333333
Gen_Data_500_0.7_3,12026.823333333334,60.13333333333333,19.666666666666668,0.6666666666666666,5739.014537398328,25875.925116487964,3747.3333333333335,16.666666666666668,32173.333333333332,10463.0,10847.333333333334,300.0,0.0,200.0,0.6666666666666666,2.6620000000000004
Gen_Data_500_0.7_4,12024.676666666666,60.123333333333335,20.0,4.333333333333333,9422.376978164475,26254.337478389923,2306.0,12.0,31078.333333333332,11222.666666666666,11798.0,300.0,1.0,200.0,3.3333333333333335,3.658
Gen_Data_500_0.7_5,12025.063333333334,60.123333333333335,21.0,3.3333333333333335,8410.145659481967,26361.163941172515,4042.0,9.333333333333334,32939.666666666664,10534.666666666666,11005.333333333334,300.0,0.0,200.0,3.3333333333333335,2.932
Gen_Data_500_0.7_6,12023.65,60.116666666666674,13.666666666666666,0.3333333333333333,5355.5200583932265,25588.276448788,4991.666666666667,2.3333333333333335,33121.333333333336,10211.0,10335.666666666666,300.0,0.0,200.0,0.3333333333333333,1.272
Gen_Data_500_0.7_7,12024.213333333333,60.12,19.0,0.0,5044.7037879275895,26325.51649475592,2704.0,33.333333333333336,31588.0,10250.0,10440.666666666666,300.0,0.0,200.0,0.0,1.5
Gen_Data_500_0.7_8,12024.623333333331,60.123333333333335,20.333333333333332,0.0,5044.30078235868,26537.60953096036,4263.0,14.333333333333334,33332.666666666664,10867.0,11077.666666666666,300.0,0.0,200.0,0.0,1.563666666666667
Gen_Data_500_0.7_9,12021.35,60.10666666666666,17.333333333333332,1.0,6028.472603023667,26832.13481840503,3155.0,1.6666666666666667,32525.333333333332,10557.333333333334,10746.0,300.0,0.0,200.0,1.0,1.5990000000000002
Gen_Data_500_0.7_10,12023.37,60.11666666666667,14.333333333333334,0.3333333333333333,5384.1566494022745,26670.356998168874,2563.3333333333335,16.666666666666668,31772.666666666668,11290.333333333334,11556.333333333334,300.0,0.0,200.0,0.3333333333333333,1.9786666666666666
