BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_500_0.7_1,4025.2999999999997,20.13,15.0,5.666666666666667,10677.62449489354,26265.66408376118,2144.0,16.0,30943.0,10469.333333333334,10785.666666666666,300.0,0.0,200.0,5.666666666666667,2.5366666666666666
Gen_Data_500_0.7_2,4031.53,20.156666666666666,15.0,9.666666666666666,14658.946879422258,26367.103854939953,2250.0,32.0,31140.333333333332,11115.333333333334,11548.0,300.0,0.0,200.0,9.666666666666666,3.28
Gen_Data_500_0.7_3,4022.74,20.11,19.0,9.333333333333334,14347.688076102553,26635.25732958804,2572.0,9.666666666666666,31732.666666666668,10822.666666666666,11285.0,300.0,0.0,200.0,9.333333333333334,3.344333333333333
Gen_Data_500_0.7_4,4026.986666666666,20.13333333333333,17.333333333333332,5.666666666666667,10699.947453254083,26297.10658827084,2864.3333333333335,37.0,31715.0,10691.666666666666,11173.666666666666,300.0,0.0,200.0,5.666666666666667,3.2900000000000005
Gen_Data_500_0.7_5,4029.97,20.150000000000002,14.333333333333334,2.0,7063.876273047931,26101.311772729445,2328.0,16.333333333333332,30974.333333333332,10571.333333333334,10972.0,300.0,0.0,200.0,2.0,2.6366666666666667
Gen_Data_500_0.7_6,4016.8799999999997,20.083333333333332,15.0,13.0,17979.802888612812,26316.329162363818,2857.6666666666665,12.333333333333334,31683.0,10085.666666666666,10576.0,300.0,1.0,200.0,12.0,3.2076666666666664
Gen_Data_500_0.7_7,4006.7899999999995,20.033333333333335,17.0,2.3333333333333335,7355.777805486768,26720.50560044781,2468.6666666666665,4.333333333333333,31746.333333333332,10673.333333333334,10875.0,300.0,0.0,200.0,2.3333333333333335,1.417
Gen_Data_500_0.7_8,4020.8266666666664,20.106666666666666,13.333333333333334,3.3333333333333335,8377.290913700896,26380.873627695793,2617.0,22.333333333333332,31543.0,10652.0,11032.333333333334,300.0,0.0,200.0,3.3333333333333335,3.0243333333333333
Gen_Data_500_0.7_9,4016.97,20.083333333333332,13.333333333333334,8.333333333333334,13356.015555835207,26867.997089652083,2454.0,27.0,31845.333333333332,10264.666666666666,10718.666666666666,300.0,0.0,200.0,8.333333333333334,3.3686666666666665
Gen_Data_500_0.7_10,4031.31,20.156666666666666,11.666666666666666,1.0,6099.790535116332,26858.093994987586,2407.6666666666665,27.333333333333332,31834.333333333332,11278.666666666666,11779.0,300.0,0.0,200.0,1.0,4.445666666666667
