Scenario,BaseValue,RS1,DifferenceRS1,PercentDifferenceRS1,RS2,DifferenceRS2,PercentDifferenceRS2
Instance 1,58.0,160.0,102.0,175.86,152.0,94.0,162.07
Instance 2,113.0,151.0,38.0,33.63,80.0,-33.0,-29.2
Instance 3,115.0,187.6,72.6,63.13,142.0,27.0,23.48
Instance 4,77.0,91.0,14.0,18.18,63.0,-14.0,-18.18
Instance 5,18.0,11.0,-7.0,-38.89,0.0,-18.0,-100.0
Instance 6,10.0,10.0,0.0,0.0,43.0,33.0,330.0
Instance 7,40.0,25.0,-15.0,-37.5,0.0,-40.0,-100.0
Instance 8,127.0,150.0,23.0,18.11,9.2,-117.8,-92.76
Instance 9,179.0,180.0,1.0,0.56,204.0,25.0,13.97
Instance 10,76.0,0.0,-76.0,-100.0,5.0,-71.0,-93.42
Average,81.3,96.56,15.26,13.31,69.82,-11.48,9.6
