Scenario,BaseValue,RS1,DifferenceRS1,PercentDifferenceRS1,RS2,DifferenceRS2,PercentDifferenceRS2
Instance 1,282.0,382.8,100.8,35.74,144.0,-138.0,-48.94
Instance 2,261.0,380.0,119.0,45.59,108.0,-153.0,-58.62
Instance 3,371.0,333.2,-37.8,-10.19,241.4,-129.6,-34.93
Instance 4,141.0,255.0,114.0,80.85,58.0,-83.0,-58.87
Instance 5,331.6,327.0,-4.6,-1.39,161.4,-170.2,-51.33
Instance 6,300.0,391.0,91.0,30.33,231.0,-69.0,-23.0
Instance 7,289.0,304.0,15.0,5.19,142.0,-147.0,-50.87
Instance 8,189.0,260.6,71.6,37.88,90.0,-99.0,-52.38
Instance 9,341.0,369.0,28.0,8.21,120.0,-221.0,-64.81
Instance 10,187.0,356.0,169.0,90.37,89.0,-98.0,-52.41
Average,269.26,335.86,66.6,32.26,138.48,-130.78,-49.62
