Scenario,BaseValue,RS1,DifferenceRS1,PercentDifferenceRS1,RS2,DifferenceRS2,PercentDifferenceRS2
Instance 1,3.0,3.0,0.0,0.0,3.0,0.0,0.0
Instance 2,3.0,3.0,0.0,0.0,3.0,0.0,0.0
Instance 3,3.0,3.0,0.0,0.0,3.0,0.0,0.0
Instance 4,6.0,6.0,0.0,0.0,6.0,0.0,0.0
Instance 5,3.0,3.0,0.0,0.0,3.0,0.0,0.0
Instance 6,3.0,3.0,0.0,0.0,3.0,0.0,0.0
Instance 7,2.0,1.0,-1.0,-50.0,1.2,-0.8,-40.0
Instance 8,2.0,2.0,0.0,0.0,2.0,0.0,0.0
Instance 9,3.0,3.0,0.0,0.0,3.0,0.0,0.0
Instance 10,6.0,6.0,0.0,0.0,5.0,-1.0,-16.67
Average,3.4,3.3,-0.1,-5.0,3.22,-0.18,-5.67
