Scenario,BaseValue,RS1,DifferenceRS1,PercentDifferenceRS1,RS2,DifferenceRS2,PercentDifferenceRS2
Scenario 1,1.0,2.2,1.2,120.0,2.2,1.2,120.0
Scenario 2,3.4,10.0,6.6,194.12,7.4,4.0,117.65
Scenario 3,6.0,11.0,5.0,83.33,9.4,3.4,56.67
Scenario 4,2.6,5.6,3.0,115.38,4.6,2.0,76.92
Scenario 5,1.2,2.0,0.8,66.67,0.8,-0.4,-33.33
Scenario 6,9.2,14.0,4.8,52.17,10.0,0.8,8.7
Scenario 7,1.2,1.2,0.0,0.0,1.8,0.6,50.0
Scenario 8,3.4,3.6,0.2,5.88,4.0,0.6,17.65
Scenario 9,3.4,7.6,4.2,123.53,7.0,3.6,105.88
Scenario 10,0.6,4.0,3.4,566.67,1.4,0.8,133.33
Average,3.2,6.12,2.92,132.77,4.86,1.66,65.35
