ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest,TotalEmptyRelocationTime,TotalNumberOfRequestsOverlapIdleVehicle,TotalDriveTimeToNearestIdleVehicle
Gen_Data_100_0.7_1_Run5,357.18,8.93,9,3,4048.6528123309035,4995.527925177523,625,12,6120,2116,2428,60,0,40,3,6.647,3.12,650,11,307
Gen_Data_100_0.7_2_Run5,359.88,9.0,8,0,1071.0097324287235,4764.861387575042,870,0,6152,2014,2321,60,0,40,0,7.661,3.07,665,13,316
Gen_Data_100_0.7_3_Run5,326.06,8.15,9,3,3990.1507022117567,5109.491174991973,612,0,6219,2075,2182,60,0,40,3,3.571,1.07,546,12,273
Gen_Data_100_0.7_4_Run5,394.24,9.86,8,7,8001.549498031813,4910.884518049188,560,10,5944,1919,2215,60,0,40,7,8.796,2.96,644,11,240
Gen_Data_100_0.7_5_Run5,356.89,8.92,15,2,3069.4748636226577,5058.507186278241,430,5,5990,2161,2480,60,0,40,2,8.199,3.19,546,6,210
Gen_Data_100_0.7_6_Run5,331.26,8.28,15,2,3084.543931541145,5071.065368863984,575,0,6141,2211,2758,60,0,40,2,14.109,5.47,604,7,258
Gen_Data_100_0.7_7_Run5,355.84,8.9,9,6,7042.747858466271,4761.621458266315,686,5,5933,2069,2493,60,0,40,6,10.691,4.24,530,11,307
Gen_Data_100_0.7_8_Run5,407.05,10.18,10,5,5954.411764705882,4564.590191783334,903,0,5957,1843,1858,60,0,40,5,0.694,0.15,484,16,475
Gen_Data_100_0.7_9_Run5,374.19,9.35,16,4,5031.839931306931,4941.376727994236,790,11,6229,2215,2574,60,0,40,4,9.821,3.59,526,15,442
Gen_Data_100_0.7_10_Run5,297.28,7.43,12,1,2002.2377622377621,5012.342046659344,482,0,6006,1879,1924,60,0,40,1,1.852,0.45,606,13,418
