ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest,TotalEmptyRelocationTime,TotalNumberOfRequestsOverlapIdleVehicle,TotalDriveTimeToNearestIdleVehicle
Gen_Data_100_0.7_1_Run5,322.63,8.06,8,4,4974.482758620689,5024.378699895315,463,11,5980,2052,2136,60,0,40,4,0.794,0.84,820,10,296
Gen_Data_100_0.7_2_Run5,388.86,9.72,10,2,3026.175970593075,5080.524182400967,598,0,6184,1962,2147,60,0,40,2,6.852,1.85,1017,11,393
Gen_Data_100_0.7_3_Run5,382.01,9.55,11,4,5039.237188274115,5145.572606616264,559,3,6205,2098,2448,60,0,40,4,9.0,3.5,770,10,375
Gen_Data_100_0.7_4_Run5,405.2,10.13,13,5,6031.420083836287,4852.111484044146,463,25,5801,1950,2375,60,0,40,5,10.562,4.25,828,12,307
Gen_Data_100_0.7_5_Run5,365.44,9.13,13,3,4018.023784237208,5201.963473750272,395,30,6096,2119,2379,60,0,40,3,5.963,2.6,1272,5,191
Gen_Data_100_0.7_6_Run5,397.15,9.93,14,1,2059.7863323958163,5246.300370496009,413,8,6166,2220,2576,60,0,40,1,10.026,3.56,868,6,210
Gen_Data_100_0.7_7_Run5,471.55,11.79,11,7,8011.4004512982765,4943.037710280715,578,5,6000,2039,2409,60,0,40,7,10.721,3.7,792,11,400
Gen_Data_100_0.7_8_Run5,388.02,9.7,12,2,3008.3037034934487,4766.8732906084815,653,16,5921,1887,2027,60,0,40,2,4.945,1.4,752,14,499
Gen_Data_100_0.7_9_Run5,406.92,10.17,9,6,6968.395738876895,5350.655466391493,389,0,6227,2129,2253,60,0,40,6,6.68,1.24,1048,12,338
Gen_Data_100_0.7_10_Run5,354.37,8.86,14,1,2015.5215641618431,5080.3595640818285,362,2,5948,1879,1980,60,0,40,1,4.583,1.01,770,8,270
