BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean,TotalEmptyRelocationTime_mean,TotalNumberOfRequestsOverlapIdleVehicle_mean,TotalDriveTimeToNearestIdleVehicle_mean
Gen_Data_20_0.7_1,5.588,0.6980000000000001,0.0,0.0,200.0,1410.2926332295976,254.0,0.0,1767.0,538.0,538.0,12.0,0.0,8.0,0.0,0.0,0.0,163.0,0.0,0.0
Gen_Data_20_0.7_2,43.934,5.491999999999999,0.0,2.0,2180.0,1051.5281414529877,490.0,0.0,1633.0,358.0,358.0,12.0,0.0,8.0,2.0,0.0,0.0,133.0,0.0,0.0
Gen_Data_20_0.7_3,4.91,0.6140000000000001,0.0,2.0,2180.0,1193.61685993959,36.0,0.0,1319.0,290.0,290.0,12.0,2.0,8.0,0.0,0.0,0.0,45.0,0.0,0.0
Gen_Data_20_0.7_4,43.263999999999996,5.4079999999999995,0.0,2.0,2187.0175438596493,1229.2671904516628,243.0,8.0,1567.0,415.0,455.0,12.0,0.0,8.0,2.0,2.857,2.0,135.0,0.0,0.0
Gen_Data_20_0.7_5,24.714,3.088,0.0,1.0,1190.0,1256.7891698351636,301.6,0.0,1656.6,428.0,428.0,12.0,0.0,8.0,1.0,0.0,0.0,84.8,1.0,13.0
Gen_Data_20_0.7_6,4.098,0.512,0.0,1.0,1190.0,1354.6047544770372,211.0,0.0,1664.0,405.0,405.0,12.0,1.0,8.0,0.0,0.0,0.0,66.0,1.0,43.0
Gen_Data_20_0.7_7,32.554,4.068,0.6,1.4,1586.0,1058.2592314432054,605.0,0.0,1761.2,211.6,211.6,12.0,0.0,8.0,1.4,0.0,0.0,242.0,1.0,54.0
Gen_Data_20_0.7_8,6.308000000000001,0.7899999999999999,0.0,0.0,200.0,1276.91501688676,251.0,0.0,1631.0,369.0,369.0,12.0,0.0,8.0,0.0,0.0,0.0,123.0,5.0,181.0
Gen_Data_20_0.7_9,25.758,3.2199999999999998,0.0,1.0,1203.125,1183.3976613694485,431.2,0.0,1711.8,354.0,417.0,12.0,0.0,8.0,1.0,3.4282000000000004,3.15,87.2,2.0,72.0
Gen_Data_20_0.7_10,5.544,0.6940000000000001,0.0,0.0,211.76691729323312,1311.2340885094823,214.0,0.0,1989.0,362.0,381.0,12.0,0.0,8.0,0.0,2.857,0.95,148.0,1.0,24.0
