BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean,TotalEmptyRelocationTime_mean,TotalNumberOfRequestsOverlapIdleVehicle_mean,TotalDriveTimeToNearestIdleVehicle_mean
Gen_Data_500_0.7_1,4017.2519999999995,20.084,17.4,3.6,8630.852608196365,25528.543474890175,2727.2,25.4,30803.6,10551.0,10902.8,300.0,0.0,200.0,3.6,2.8284000000000002,0.7036,3317.8,107.4,2456.6
Gen_Data_500_0.7_2,4026.668,20.131999999999998,13.6,7.2,12258.752389280611,25685.865916579256,2863.4,48.4,31095.0,11105.6,11690.6,300.0,0.0,200.0,7.2,3.9097999999999997,1.17,2907.4,99.2,2053.8
Gen_Data_500_0.7_3,4018.7580000000003,20.094,17.8,9.0,14016.182408223927,25867.881421522965,2912.0,26.0,31312.8,10829.0,11324.6,300.0,0.0,200.0,9.0,3.6892000000000005,0.9912000000000001,3406.0,86.2,2027.2
Gen_Data_500_0.7_4,4019.828,20.095999999999997,18.2,3.2,8308.963530766017,25576.06958103351,3265.8,38.4,31399.0,10795.6,11502.2,300.0,0.0,200.0,3.2,4.212999999999999,1.4132,3465.0,90.2,1615.8
Gen_Data_500_0.7_5,4025.5600000000004,20.1275,12.75,2.25,7283.886333107435,25770.242530679436,2732.5,12.25,31065.25,10575.25,10842.25,300.0,0.0,200.0,2.25,1.9067500000000002,0.534,3382.75,104.0,1979.0
Gen_Data_500_0.7_6,4016.1159999999995,20.08,14.0,12.0,16999.78192696285,25768.58568834658,3152.8,5.6,31428.0,10044.0,10604.6,300.0,1.0,200.0,11.0,3.7656,1.1212,3677.2,95.6,1942.8
Gen_Data_500_0.7_7,3996.0260000000003,19.976,17.4,1.4,6429.65315185952,25734.528171873862,3211.6,7.0,31507.8,10690.2,10879.2,300.0,0.0,200.0,1.4,1.6908,0.378,3679.2,95.6,2768.8
Gen_Data_500_0.7_8,4015.9039999999995,20.076,14.6,3.2,8264.361209741211,25794.641532675003,3518.0,26.6,31870.0,10673.2,11173.6,300.0,0.0,200.0,3.2,3.4402,1.0008000000000001,3399.8,90.2,1911.8
Gen_Data_500_0.7_9,4012.1059999999998,20.06,14.4,7.6,12627.701097667206,25997.175139959923,3095.6,17.8,31623.2,10281.2,10734.4,300.0,0.0,200.0,7.6,2.758,0.9064,3370.2,92.2,1791.6
Gen_Data_500_0.7_10,4025.28,20.124,11.8,1.4,6462.740492938327,26340.07554325774,2808.0,16.8,31721.0,11260.2,11630.0,300.0,0.0,200.0,1.4,3.2653999999999996,0.7396,3516.0,88.0,1944.0
