BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean,TotalEmptyRelocationTime_mean,TotalNumberOfRequestsOverlapIdleVehicle_mean,TotalDriveTimeToNearestIdleVehicle_mean
Gen_Data_500_0.7_1,4023.632,20.113999999999997,16.6,3.4,8445.114794913196,25775.896209437444,2315.4,24.6,30637.2,10563.2,10941.6,300.0,0.0,200.0,3.4,2.6293999999999995,0.7568,4271.6,107.4,2479.4
Gen_Data_500_0.7_2,4025.328,20.125999999999998,13.0,12.8,17759.498114686085,26513.49646706693,2081.2,34.0,31100.4,10936.0,11316.8,300.0,0.0,200.0,12.8,2.7628,0.7616,4168.0,104.4,2186.0
Gen_Data_500_0.7_3,4022.1580000000004,20.108,16.8,9.6,14641.916017309562,26676.060113196618,2396.2,30.2,31596.6,10796.8,11442.4,300.0,0.0,200.0,9.6,4.0565999999999995,1.2912,4438.8,84.8,2182.4
Gen_Data_500_0.7_4,4019.8359999999993,20.096,15.2,4.6,9685.084487536289,26185.835736316913,2722.8,35.4,31451.4,10720.4,11395.2,300.0,0.0,200.0,4.6,4.157,1.3496,4843.2,89.6,1878.2
Gen_Data_500_0.7_5,4026.1940000000004,20.13,14.8,1.8,6848.063120637172,25773.225467554956,2483.6,7.0,30806.6,10566.8,10868.0,300.0,0.0,200.0,1.8,2.5816,0.6024,4436.2,101.8,2030.0
Gen_Data_500_0.7_6,4013.054,20.062,14.4,13.2,18195.498477520632,26407.926118456973,2695.4,15.8,31602.8,10013.4,10621.2,300.0,1.0,200.0,12.2,3.6942,1.2155999999999998,4867.4,100.4,2350.8
Gen_Data_500_0.7_7,3997.964,19.988,20.8,1.6,6656.92335644595,25937.472888923774,2815.0,18.4,31311.8,10687.8,11028.8,300.0,0.0,200.0,1.6,2.621,0.682,4436.8,97.4,3088.6
Gen_Data_500_0.7_8,4014.71,20.072,13.2,5.8,10831.16450461787,26556.794717798453,2504.4,16.2,31597.6,10586.6,11017.6,300.0,0.0,200.0,5.8,3.1971999999999996,0.8619999999999999,4737.2,91.4,1863.4
Gen_Data_500_0.7_9,4009.8120000000004,20.046,13.2,10.4,15405.791371961095,26519.71031272586,2745.0,11.6,31777.0,10164.0,10632.0,300.0,0.0,200.0,10.4,2.9254000000000002,0.9359999999999999,4925.4,88.8,2089.0
Gen_Data_500_0.7_10,4025.582,20.125999999999998,10.6,4.2,9259.59818628198,26654.558506127785,2513.4,17.6,31724.4,11193.4,11668.6,300.0,0.0,200.0,4.2,3.7392000000000003,0.9503999999999999,4840.2,83.8,1966.8
