ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest,TotalEmptyRelocationTime,TotalNumberOfRequestsOverlapIdleVehicle,TotalDriveTimeToNearestIdleVehicle
Gen_Data_100_0.7_1_Run1,1182.58,11.82,1,55,55477.833333333336,4332.322907202475,2217,0,6840,926,979,0,0,100,55,2.368,0.53,3020,72,2251
Gen_Data_100_0.7_2_Run1,1147.34,11.47,1,53,53477.64705882353,4348.877341480834,2198,0,6840,947,973,0,0,100,53,1.316,0.26,2864,74,2824
Gen_Data_100_0.7_3_Run1,1215.62,12.15,2,57,57456.238182005705,4387.71632611827,2179,0,6840,915,980,0,0,100,57,3.07,0.65,2889,67,2250
Gen_Data_100_0.7_4_Run1,1125.46,11.25,0,52,52497.274059048905,4392.164946438884,2156,0,6840,1038,1093,0,0,100,52,3.07,0.55,2818,78,2867
Gen_Data_100_0.7_5_Run1,1310.86,13.1,2,62,62417.684873949576,4090.431217578846,2494,0,6840,799,906,0,0,100,62,4.624,1.07,2784,93,3453
Gen_Data_100_0.7_6_Run1,1103.5,11.03,2,51,51508.92037037037,4511.843132004113,2032,0,6840,1101,1147,0,0,100,51,1.504,0.46,2700,86,3504
Gen_Data_100_0.7_7_Run1,1165.07,11.65,2,54,54476.875,4270.578808354483,2275,0,6840,835,862,0,0,100,54,0.877,0.27,2909,77,2649
Gen_Data_100_0.7_8_Run1,1197.61,11.97,0,56,56463.24074074074,4162.6658595991,2395,0,6840,773,832,0,0,100,56,1.974,0.59,2801,83,2973
Gen_Data_100_0.7_9_Run1,1250.46,12.5,1,59,59472.19717873236,4180.199103532442,2386,0,6840,796,1021,0,0,100,59,7.807,2.25,2886,75,2652
Gen_Data_100_0.7_10_Run1,1217.2,12.17,1,57,57430.0,4230.520841461242,2327,0,6840,771,771,0,0,100,57,0.0,0.0,2931,71,2710
