ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest,TotalEmptyRelocationTime,TotalNumberOfRequestsOverlapIdleVehicle,TotalDriveTimeToNearestIdleVehicle
Gen_Data_100_0.7_1_Run3,975.64,9.75,4,46,46569.467787114845,3107.8015488497076,3441,0,6840,1271,1325,0,0,100,46,2.368,0.54,1722,90,2293
Gen_Data_100_0.7_2_Run3,880.36,8.8,3,41,41608.75,3340.7783724921865,3185,0,6840,1258,1303,0,0,100,41,1.316,0.45,1926,99,2627
Gen_Data_100_0.7_3_Run3,902.4,9.02,2,42,42621.10882842123,2999.378185711148,3528,0,6840,1155,1293,0,0,100,42,5.088,1.38,1728,88,2185
Gen_Data_100_0.7_4_Run3,943.34,9.43,1,44,44611.483004122136,3154.3711663896424,3389,0,6840,1291,1493,0,0,100,44,6.241,2.02,1720,96,2656
Gen_Data_100_0.7_5_Run3,935.7,9.36,0,44,44577.14795008913,2955.1021223365433,3585,0,6840,1094,1128,0,0,100,44,1.93,0.34,1785,100,2626
Gen_Data_100_0.7_6_Run3,916.65,9.16,3,43,43622.35065345415,3676.6196136987683,2856,32,6840,1413,1540,0,0,100,43,3.684,1.27,2189,98,2555
Gen_Data_100_0.7_7_Run3,862.46,8.62,3,40,40623.52463768116,2926.953948645751,3589,0,6840,1004,1044,0,0,100,40,2.368,0.4,1790,100,2319
Gen_Data_100_0.7_8_Run3,912.31,9.12,1,42,42585.28301886792,3126.4207316089187,3406,0,6840,1069,1097,0,0,100,42,1.504,0.28,1972,100,2468
Gen_Data_100_0.7_9_Run3,882.79,8.83,2,41,41641.102428450155,3188.454436127518,3339,0,6840,1199,1339,0,0,100,41,4.449,1.4,1866,94,1983
Gen_Data_100_0.7_10_Run3,897.27,8.97,0,42,42597.878787878784,2874.0084682691013,3660,0,6840,1080,1111,0,0,100,42,2.193,0.31,1716,100,2549
