BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean,TotalEmptyRelocationTime_mean,TotalNumberOfRequestsOverlapIdleVehicle_mean,TotalDriveTimeToNearestIdleVehicle_mean
Gen_Data_100_0.7_1,1200.67,0.0,0.0,12.8,13821.187351615174,4594.058977175069,311.2,25.8,5347.8,1995.2,2589.0,0.0,12.8,100.0,0.0,15.2548,5.938,262.0,0.0,0.0
Gen_Data_100_0.7_2,1200.94,0.0,0.0,4.4,5524.022742141805,4974.714815783643,319.8,20.2,5781.8,2162.2,2859.6,0.0,4.4,100.0,0.0,14.4328,6.973999999999999,378.6,0.0,0.0
Gen_Data_100_0.7_3,1200.6620000000003,0.0,0.0,6.6,7657.407294534365,4985.789013792831,253.4,23.4,5711.6,1932.2,2409.4,0.0,6.6,100.0,0.0,12.7216,4.772,406.8,0.0,0.0
Gen_Data_100_0.7_4,1200.682,0.0,0.0,6.4,7512.861540797227,4925.227090616756,320.6,17.0,5722.6,2175.2,2832.8,0.0,6.4,100.0,0.0,18.423,6.575999999999999,497.2,0.0,0.0
Gen_Data_100_0.7_5,1200.6860000000001,0.0,0.0,5.0,5997.313243839146,4614.522816843736,348.8,13.4,5453.4,1823.4,2033.8,0.0,5.0,100.0,0.0,8.3286,2.104,497.4,0.0,0.0
Gen_Data_100_0.7_6,1200.828,0.0,0.0,4.8,5871.776159971023,4986.603664872421,303.8,46.8,5774.8,2160.2,2694.4,0.0,4.8,100.0,0.0,12.381799999999998,5.3420000000000005,340.8,0.0,0.0
Gen_Data_100_0.7_7,1200.746,0.0,0.0,4.2,5292.750336612398,4822.995804333909,359.2,12.2,5668.8,1831.6,2244.0,0.0,4.2,100.0,0.0,11.021799999999999,4.124,589.0,0.0,0.0
Gen_Data_100_0.7_8,1200.7379999999998,0.0,0.0,3.2,4251.820445168574,4903.444533236021,271.8,34.0,5670.0,2047.0,2441.4,0.0,3.2,100.0,0.0,9.8036,3.944,350.0,0.0,0.0
Gen_Data_100_0.7_9,1200.754,0.0,0.0,5.2,6263.809093099575,4899.517276296703,328.4,7.8,5712.8,1984.2,2406.2,0.0,5.2,100.0,0.0,11.1814,4.22,464.6,0.0,0.0
Gen_Data_100_0.7_10,1200.79,0.0,0.0,8.8,9800.753938343474,4864.635785766911,404.4,14.6,5731.8,1786.0,2111.0,0.0,8.8,100.0,0.0,7.923399999999999,3.25,550.4,0.0,0.0
