BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean,TotalEmptyRelocationTime_mean,TotalNumberOfRequestsOverlapIdleVehicle_mean,TotalDriveTimeToNearestIdleVehicle_mean
Gen_Data_100_0.7_1,1033.7620000000002,10.334,1.0,49.0,49526.19047619047,3156.5386508035967,3397.0,0.0,6840.0,1167.0,1201.0,0.0,0.0,100.0,49.0,0.877,0.34,1076.0,95.0,2457.0
Gen_Data_100_0.7_2,852.0459999999999,8.518,2.0,39.0,39628.75,3379.051335984989,3119.8,0.0,6840.0,1278.0,1323.0,0.0,0.0,100.0,39.0,1.316,0.45,1454.8,99.0,2334.0
Gen_Data_100_0.7_3,854.9959999999999,8.548,0.0,39.0,39637.3778664008,3381.1938177575007,3118.0,0.0,6840.0,1189.0,1269.0,0.0,0.0,100.0,39.0,2.105,0.8,1616.0,98.0,2382.0
Gen_Data_100_0.7_4,871.324,8.712,0.0,39.8,40423.59679501425,3355.3822831476296,3155.6,0.0,6840.0,1294.2,1353.0,0.0,0.0,100.0,39.8,2.4189999999999996,0.5880000000000001,1367.8,97.2,2490.4
Gen_Data_100_0.7_5,855.494,8.552,1.4,38.8,39448.821204371074,3057.8386818917525,3446.4,0.0,6840.0,1140.8,1223.2,0.0,0.0,100.0,38.8,3.0024,0.8240000000000001,1408.8,100.0,2230.0
Gen_Data_100_0.7_6,903.574,9.032,2.4,41.2,41857.65691481504,3553.561404911391,2965.6,0.0,6840.0,1397.2,1604.8,0.0,0.0,100.0,41.2,7.3506,2.076,1538.8,99.0,2328.8
Gen_Data_100_0.7_7,782.99,7.828,2.0,35.0,35657.5,3369.740803189144,3114.0,0.0,6840.0,1166.0,1180.0,0.0,0.0,100.0,35.0,0.752,0.14,1541.0,100.0,2317.0
Gen_Data_100_0.7_8,796.106,7.960000000000001,1.0,35.6,36278.112912520985,3210.2984350861716,3216.4,0.0,6775.6,1276.6,1380.2,0.0,0.0,100.0,35.6,2.7077999999999998,1.036,1302.2,100.0,2281.6
Gen_Data_100_0.7_9,862.8799999999999,8.626,1.2,39.4,40034.90552995391,3457.1399208841626,3039.0,0.0,6839.0,1227.4,1296.0,0.0,0.0,100.0,39.4,2.4564,0.6859999999999999,1513.6,100.0,2312.4
Gen_Data_100_0.7_10,846.4440000000001,8.462,0.0,38.2,38818.0,3291.642884864993,3203.2,0.0,6840.0,1251.8,1251.8,0.0,0.0,100.0,38.2,0.0,0.0,1530.8,100.0,2373.2
