ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest,TotalEmptyRelocationTime,TotalNumberOfRequestsOverlapIdleVehicle,TotalDriveTimeToNearestIdleVehicle
Gen_Data_20_0.7_1_Run4,303.86,15.18,0,15,15050.0,385.05447300709545,1384,0,1800,86,86,0,0,20,15,0.0,0.0,167,18,583
Gen_Data_20_0.7_2_Run4,285.38,14.26,0,14,14060.0,429.87477997694106,1337,0,1800,109,109,0,0,20,14,0.0,0.0,172,19,700
Gen_Data_20_0.7_3_Run4,285.93,14.29,0,14,14060.0,561.5080883789699,1204,0,1800,200,200,0,0,20,14,0.0,0.0,188,16,590
Gen_Data_20_0.7_4_Run4,324.34,16.21,0,16,16040.0,246.79871154880902,1530,0,1800,34,34,0,0,20,16,0.0,0.0,122,19,821
Gen_Data_20_0.7_5_Run4,284.24,14.2,0,14,14060.0,528.842256988554,1237,0,1800,180,180,0,0,20,14,0.0,0.0,248,19,698
Gen_Data_20_0.7_6_Run4,244.66,12.22,0,12,12080.0,577.5643096683996,1177,0,1800,196,196,0,0,20,12,0.0,0.0,219,16,498
Gen_Data_20_0.7_7_Run4,325.5,16.27,0,16,16040.0,296.4653555477105,1481,0,1800,50,50,0,0,20,16,0.0,0.0,155,19,794
Gen_Data_20_0.7_8_Run4,265.74,13.28,0,13,13070.0,419.4942135633892,1342,0,1800,152,152,0,0,20,13,0.0,0.0,227,20,805
Gen_Data_20_0.7_9_Run4,305.7,15.27,0,15,15050.0,296.7564044534792,1475,0,1800,54,54,0,0,20,15,0.0,0.0,171,20,823
Gen_Data_20_0.7_10_Run4,326.27,16.31,0,16,16040.0,362.94001596018614,1413,0,1800,98,98,0,0,20,16,0.0,0.0,169,19,878
