BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean,TotalEmptyRelocationTime_mean,TotalNumberOfRequestsOverlapIdleVehicle_mean,TotalDriveTimeToNearestIdleVehicle_mean
Gen_Data_20_0.7_1,204.27200000000002,10.214000000000002,0.0,10.0,10100.0,890.5078648716114,532.0,0.0,1477.0,230.0,230.0,0.0,0.0,20.0,10.0,0.0,0.0,345.0,15.0,598.0
Gen_Data_20_0.7_2,263.496,13.174000000000001,0.0,13.0,13070.0,645.1022175729013,877.0,0.0,1558.0,113.0,113.0,0.0,0.0,20.0,13.0,0.0,0.0,327.0,15.0,616.0
Gen_Data_20_0.7_3,224.16799999999998,11.209999999999999,0.0,11.0,11090.0,734.9918514959277,744.0,0.0,1528.0,201.0,201.0,0.0,0.0,20.0,11.0,0.0,0.0,372.0,17.0,673.0
Gen_Data_20_0.7_4,207.79199999999997,10.389999999999999,0.0,10.0,10100.0,757.2644823367718,562.0,0.0,1375.0,157.0,157.0,0.0,0.0,20.0,10.0,0.0,0.0,370.0,14.0,644.0
Gen_Data_20_0.7_5,224.32,11.214000000000002,0.0,11.0,11090.0,797.6108356235119,672.0,0.0,1517.0,211.0,211.0,0.0,0.0,20.0,11.0,0.0,0.0,323.0,19.0,719.0
Gen_Data_20_0.7_6,204.478,10.224,0.0,10.0,10100.0,872.2412545191637,598.0,0.0,1523.0,247.0,247.0,0.0,0.0,20.0,10.0,0.0,0.0,367.0,14.0,602.0
Gen_Data_20_0.7_7,283.11199999999997,14.156,0.0,14.0,14060.0,486.41736080322164,407.0,0.0,927.0,63.0,63.0,0.0,0.0,20.0,14.0,0.0,0.0,185.0,14.0,704.0
Gen_Data_20_0.7_8,248.01400000000004,12.402000000000001,0.0,12.0,12080.0,567.4369172925182,926.0,0.0,1535.0,115.0,115.0,0.0,0.0,20.0,12.0,0.0,0.0,257.0,17.0,776.0
Gen_Data_20_0.7_9,227.368,11.37,0.0,11.0,11110.0,614.191169421413,910.0,0.0,1574.0,115.0,151.0,0.0,0.0,20.0,11.0,5.0,1.8,262.0,19.0,931.0
Gen_Data_20_0.7_10,267.412,13.372,0.0,13.0,13070.0,685.5388396342403,223.0,0.0,946.0,159.0,159.0,0.0,0.0,20.0,13.0,0.0,0.0,176.0,14.0,604.0
