ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_0.7_1_Run1,1624.24,5.41,12,42,44708.570085600484,14310.604567555685,3352,0,19039,5565,5957,0,0,300,42,4.068
Gen_Data_300_0.7_2_Run1,1658.16,5.53,12,49,51608.10881100211,14056.057742371402,3518,0,18905,5377,5730,0,0,300,49,3.931
Gen_Data_300_0.7_3_Run1,1417.51,4.73,6,34,36788.862817404945,14700.727485932217,3185,0,19311,5846,6260,0,0,300,34,3.779
Gen_Data_300_0.7_4_Run1,1616.6,5.39,10,48,50649.2371208531,14327.021017129737,3479,0,19173,5320,5680,0,0,300,48,3.35
Gen_Data_300_0.7_5_Run1,1634.94,5.45,8,47,49660.42552210402,13932.383816087451,3742,15,19022,5425,5882,0,0,300,47,3.812
Gen_Data_300_0.7_6_Run1,1653.16,5.51,6,46,48640.996425393765,14463.417877386477,3250,0,19071,5848,6202,0,0,300,46,3.96
Gen_Data_300_0.7_7_Run1,1585.46,5.28,12,44,46637.07948298166,14597.853976412927,2941,0,18920,5779,6053,0,0,300,44,3.323
Gen_Data_300_0.7_8_Run1,1683.25,5.61,9,51,53643.630195468126,14101.716641962827,3261,8,18706,5581,6124,0,0,300,51,5.644
Gen_Data_300_0.7_9_Run1,1481.83,4.94,9,38,40784.40155384323,13969.229639411693,3806,0,19183,5260,5832,0,0,300,38,6.183
Gen_Data_300_0.7_10_Run1,1581.01,5.27,7,45,47621.52234771239,14461.65580914358,3474,0,19303,5781,5971,0,0,300,45,2.861
