ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_0.7_1_Run2,18008.26,60.03,10,59,61659.57458149912,15513.689411918944,2058,0,18885,5155,5708,0,0,300,59,6.582
Gen_Data_300_0.7_2_Run2,18008.82,60.03,16,73,75501.05364048432,15719.727366993884,2353,3,19306,4845,5473,0,0,300,73,6.694
Gen_Data_300_0.7_3_Run2,18008.16,60.03,8,71,73442.13508291043,15796.68167806895,2372,0,19422,5142,5539,0,0,300,71,5.015
Gen_Data_300_0.7_4_Run2,18008.14,60.03,12,62,64512.55525743204,15380.44584503351,2506,0,19195,5111,5606,0,0,300,62,5.626
Gen_Data_300_0.7_5_Run2,18007.37,60.02,13,66,68463.16740329469,15534.541936559872,2369,0,19168,4969,5292,0,0,300,66,4.989
Gen_Data_300_0.7_6_Run2,18007.46,60.02,19,62,64581.10083280466,15777.372114395952,2073,0,19122,5194,5924,0,0,300,62,6.669
Gen_Data_300_0.7_7_Run2,18008.56,60.03,6,88,90255.15781731476,15447.830889858167,2437,0,19041,4837,5200,0,0,300,88,4.399
Gen_Data_300_0.7_8_Run2,18007.99,60.03,8,66,68512.42946760728,15287.526524042398,2402,0,18952,5227,5861,0,0,300,66,6.305
Gen_Data_300_0.7_9_Run2,18007.99,60.03,11,63,65443.479899728765,15265.307787687949,2575,0,19126,4596,4868,0,0,300,63,3.676
Gen_Data_300_0.7_10_Run2,18008.7,60.03,13,70,72471.3542365593,15701.559793985949,2352,3,19303,5185,5698,0,0,300,70,5.564
