BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean,TotalEmptyRelocationTime_mean,TotalNumberOfRequestsOverlapIdleVehicle_mean,TotalDriveTimeToNearestIdleVehicle_mean
Gen_Data_300_0.7_1,2738.15,9.126,15.8,100.2,102383.20882551548,16065.934474366568,2678.6,10.8,19922.6,4324.4,4801.2,0.0,0.0,300.0,100.2,6.739400000000001,1.5893333333333335,9979.2,291.8,7827.2
Gen_Data_300_0.7_2,2792.772,9.308,15.0,110.4,112423.72478319642,15561.787052180787,2981.4,11.6,19675.8,3733.8,4112.4,0.0,0.0,300.0,110.4,4.6388,1.262,9863.4,298.2,7355.4
Gen_Data_300_0.7_3,2645.7040000000006,8.818000000000001,15.6,98.8,100994.30993403547,16294.178159367646,2570.8,13.2,20056.2,4547.6,5126.6,0.0,0.0,300.0,98.8,7.184399999999999,1.9300000000000002,9588.2,297.8,7830.4
Gen_Data_300_0.7_4,2696.806,8.988,14.4,98.0,100223.97191295066,15351.220981689135,3430.6,31.8,19959.6,4296.0,4920.2,0.0,0.0,300.0,98.0,6.1722,2.0806666666666667,8883.8,291.0,7161.8
Gen_Data_300_0.7_5,2887.3720000000003,9.622,13.0,115.4,117391.62874568524,15992.35425137744,2868.4,1.4,19978.0,3897.8,4336.6,0.0,0.0,300.0,115.4,5.2706,1.4626666666666666,10089.4,298.4,8103.8
Gen_Data_300_0.7_6,2619.636,8.728,16.2,96.0,98257.45567790676,15272.684963236661,3515.4,11.0,19978.8,4249.6,4853.6,0.0,0.0,300.0,96.0,5.7707999999999995,2.013333333333333,9021.8,297.2,8107.8
Gen_Data_300_0.7_7,2741.972,9.138,16.2,103.4,105534.79596095793,16303.353153080447,2635.2,3.4,20099.8,4427.8,4935.2,0.0,0.0,300.0,103.4,5.988,1.6913333333333334,9684.0,296.4,8112.4
Gen_Data_300_0.7_8,2631.7760000000003,8.77,17.6,100.2,102349.83333463779,15840.50379877857,2892.4,2.6,19910.0,4379.6,4897.6,0.0,0.0,300.0,100.2,6.869,1.7266666666666666,9587.2,293.2,7655.2
Gen_Data_300_0.7_9,2672.8660000000004,8.905999999999999,18.8,96.0,98262.42030226048,15772.464749285184,2993.2,7.6,19972.0,4078.0,4764.4,0.0,0.0,300.0,96.0,8.610000000000001,2.288,9492.0,297.2,8563.2
Gen_Data_300_0.7_10,2812.97,9.376000000000001,15.4,106.2,108297.86167505474,16420.918090094292,2476.8,8.0,20057.4,4363.4,4836.4,0.0,0.0,300.0,106.2,6.1194,1.5766666666666667,10147.0,294.2,7290.0
